TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_MBR_0001	멤버 리스트	멤버 리스트		멤버 리스트	UI확인	사이드바 아티스트 > 멤버 리스트 클릭 → /artists/members 진입	멤버 리스트 페이지 진입
TC_MBR_0002	멤버 리스트	멤버 리스트		멤버 리스트	UI확인	브레드크럼·타이틀	'홈 > 아티스트 > 멤버 리스트' + 타이틀 '멤버 리스트'
TC_MBR_0003	멤버 리스트	멤버 리스트		멤버 리스트	UI확인	우측 상단 액션 버튼	[소속사 설정]·[멤버 생성] 노출(쓰기 권한 시)
TC_MBR_0004	멤버 리스트	멤버 리스트	통계 카드	멤버 리스트	UI확인	상태 통계 카드	전체 / Active / Inactive 3개 + 건수 표시
TC_MBR_0005	멤버 리스트	멤버 리스트	통계 카드	멤버 리스트	버튼클릭	Active 카드 클릭 → 재클릭	Active 필터 → 재클릭 시 전체 해제(토글)
TC_MBR_0006	멤버 리스트	멤버 리스트	검색·필터	멤버 리스트	UI확인	상태 필터 드롭다운	전체/Active/Inactive, 기본 전체
TC_MBR_0007	멤버 리스트	멤버 리스트	검색·필터	멤버 리스트	UI확인	검색 대상 드롭다운 + 안내문	멤버명/그룹명, 선택에 따라 '멤버명 입력'/'그룹명 입력' 안내, 전환 시 키워드 초기화
TC_MBR_0008	멤버 리스트	멤버 리스트	검색·필터	멤버 리스트	데이터입력	멤버명으로 검색	한국어·영어·일본어 통합 부분 일치 결과
TC_MBR_0009	멤버 리스트	멤버 리스트	검색·필터	멤버 리스트	데이터입력	그룹명으로 검색	해당 그룹 소속 멤버 노출
TC_MBR_0010	멤버 리스트	멤버 리스트	검색·필터	멤버 리스트	버튼클릭	[초기화] 클릭	상태·검색 대상·검색어 리셋, 1페이지 복귀
TC_MBR_0011	멤버 리스트	멤버 리스트	테이블	멤버 리스트	UI확인	테이블 컬럼	상태/멤버명/소속 그룹 수/생년월일/성별/업데이트 일시
TC_MBR_0012	멤버 리스트	멤버 리스트	테이블	멤버 리스트	UI확인	정렬 기준	업데이트 일시 내림차순(최신순) 고정
TC_MBR_0013	멤버 리스트	멤버 리스트	테이블	멤버 리스트	버튼클릭	행 클릭	멤버 상세(기본정보 탭)로 이동
TC_MBR_0014	멤버 리스트	멤버 리스트	테이블	멤버 리스트	UI확인	페이지네이션	페이지당 15건, 필터·검색 변경 시 1페이지로 이동·결과 적으면 마지막 페이지 보정
TC_MBR_0015	멤버 리스트	멤버 리스트	테이블	멤버 리스트	상태확인	초기 로딩 / 전체 0건 / 검색 0건	Skeleton / '등록된 멤버가 없습니다.' / '검색 결과가 없습니다.'
TC_MBR_0016	멤버 리스트	멤버 리스트	테이블	멤버 리스트	에러 메시지 확인	목록 조회 실패	'멤버 목록 조회에 실패하였습니다.' + [재시도]
TC_MBR_0017	멤버 리스트	소속사 설정		소속사 설정	모달확인	멤버 리스트에서 [소속사 설정] 클릭	소속사 설정 페이지(/artists/members/agencies) 진입
TC_MBR_0018	멤버 리스트	소속사 설정		소속사 설정	UI확인	타이틀·[새 소속사 추가] 버튼	타이틀 '소속사 설정' + 우측 [새 소속사 추가]
TC_MBR_0019	멤버 리스트	소속사 설정		소속사 설정	UI확인	테이블 컬럼	상태/운영자 노출명/한국어/영어/일본어
TC_MBR_0020	멤버 리스트	소속사 설정	추가 모달	소속사 추가 모달	모달확인	[새 소속사 추가] 클릭	추가 모달 진입, 제목 '새 소속사 추가'
TC_MBR_0021	멤버 리스트	소속사 설정	추가 모달	소속사 추가 모달	UI확인	입력 필드	운영자 노출명/한국어/영어/일본어(각 50자)
TC_MBR_0022	멤버 리스트	소속사 설정	추가 모달	소속사 추가 모달	에러 메시지 확인	일부 항목만 입력	[추가하기] 비활성
TC_MBR_0023	멤버 리스트	소속사 설정	추가 모달	소속사 추가 모달	에러 메시지 확인	운영자 노출명 중복	'이미 등록된 소속사명입니다.' 인라인 에러
TC_MBR_0024	멤버 리스트	소속사 설정	추가 모달	소속사 추가 모달	데이터입력	전 항목 입력 후 [추가하기]	상태 '사용' 등록 + '소속사를 추가했습니다.' 토스트 + 모달 닫힘
TC_MBR_0025	멤버 리스트	소속사 설정	수정 모달	소속사 수정 모달	모달확인	테이블 행 클릭	수정 모달 진입, 제목 '소속사 수정', 기존값 + 상태설정(사용/미사용) 드롭다운
TC_MBR_0026	멤버 리스트	소속사 설정	수정 모달	소속사 수정 모달	에러 메시지 확인	운영자 노출명 중복(자기 제외)	중복 시 인라인 에러
TC_MBR_0027	멤버 리스트	소속사 설정	수정 모달	소속사 수정 모달	데이터입력	[저장하기]	'소속사를 수정했습니다.' 토스트 + 모달 닫힘
TC_MBR_0028	멤버 리스트	소속사 설정	수정 모달	소속사 수정 모달	상태확인	상태 '미사용' 전환	이미 배정된 멤버 소속사는 유지, 멤버 생성·수정 드롭다운에서만 제외
TC_MBR_0029	멤버 리스트	멤버 생성		멤버 생성	모달확인	멤버 리스트에서 [멤버 생성] 클릭	멤버 생성 페이지(/create) 진입, 타이틀 '멤버 생성'
TC_MBR_0030	멤버 리스트	멤버 생성		멤버 생성	UI확인	액션 버튼	[취소하기]·[생성하기], [생성하기] 초기 비활성
TC_MBR_0031	멤버 리스트	멤버 생성	입력 폼	멤버 생성	UI확인	멤버명 다국어 입력	한국어/영어/일본어 탭(각 100자), 미입력 탭 표시
TC_MBR_0032	멤버 리스트	멤버 생성	입력 폼	멤버 생성	UI확인	프로필이미지 업로드 영역	1:1 비율, JPG·PNG·WebP, 최대 5MB
TC_MBR_0033	멤버 리스트	멤버 생성	입력 폼	멤버 생성	UI확인	생년월일·별자리	날짜 선택(1900.01.01~오늘, 미래 비활성) + 별자리 자동 계산(읽기 전용)
TC_MBR_0034	멤버 리스트	멤버 생성	입력 폼	멤버 생성	UI확인	키·몸무게(선택)	숫자 입력, 키 100~250cm·몸무게 30~200kg
TC_MBR_0035	멤버 리스트	멤버 생성	입력 폼	멤버 생성	UI확인	소속사·성별	소속사 드롭다운(사용 소속사만, 기본 '소속사 없음') + 성별(남성/여성)
TC_MBR_0036	멤버 리스트	멤버 생성	입력 폼	멤버 생성	UI확인	다국어 콘텐츠	멤버소개(255자)·인사말·취미·좌우명(각 100자) 다국어 탭(선택)
TC_MBR_0037	멤버 리스트	멤버 생성	입력 폼	멤버 생성	데이터입력	멤버소개 255자 초과·인사말/취미/좌우명 100자 초과 입력 시도	각 항목 제한 글자수(멤버소개 255자·나머지 100자)까지만 입력 가능
TC_MBR_0038	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	멤버명 한국어만 입력	[생성하기] 비활성 + 영어·일본어 탭 미입력 표시
TC_MBR_0039	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	멤버명 영어 미입력	[생성하기] 비활성
TC_MBR_0040	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	멤버명 일본어 미입력	[생성하기] 비활성
TC_MBR_0041	멤버 리스트	멤버 생성	입력 폼	멤버 생성	데이터입력	멤버명 100자 초과 입력	100자까지만 입력 가능
TC_MBR_0042	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	프로필이미지 미업로드	[생성하기] 비활성
TC_MBR_0043	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	5MB 초과 이미지 업로드	'이미지 용량은 5MB 이하만 등록할 수 있습니다.' 에러
TC_MBR_0044	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	미지원 형식(GIF 등) 업로드	'지원하지 않는 형식입니다. (JPG·PNG·WebP)' 에러
TC_MBR_0045	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	생년월일 미선택	[생성하기] 비활성
TC_MBR_0046	멤버 리스트	멤버 생성	입력 폼	멤버 생성	데이터입력	생년월일 경계일 입력 후 별자리(예: 1990.03.21)	경계일 정확 판정 — 1990.03.21 입력 시 양자리 표시, 1990.03.20 입력 시 물고기자리 표시
TC_MBR_0047	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	키 범위 밖(99 또는 251) 입력	'100~250cm 사이로 입력하세요.' 에러 + [생성하기] 비활성
TC_MBR_0048	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	몸무게 범위 밖(29 또는 201) 입력	'30~200kg 사이로 입력하세요.' 에러
TC_MBR_0049	멤버 리스트	멤버 생성	입력 폼	멤버 생성	에러 메시지 확인	성별 미선택	[생성하기] 비활성
TC_MBR_0050	멤버 리스트	멤버 생성	입력 폼	멤버 생성	상태확인	필수(멤버명 3언어+이미지+생년월일+성별) 모두 충족	[생성하기] 활성
TC_MBR_0051	멤버 리스트	멤버 생성	완료 모달	멤버 생성 완료 모달	데이터입력	[생성하기] → [확인]	제목 '멤버 생성' 모달 → '멤버를 생성했습니다.' 토스트 + 멤버 리스트로 이동
TC_MBR_0052	멤버 리스트	멤버 생성	완료 모달	멤버 생성 완료 모달	버튼클릭	[다시 돌아가기]	모달 닫고 생성 화면 유지(입력값 유지)
TC_MBR_0053	멤버 리스트	멤버 생성	취소 모달	멤버 생성 취소 모달	버튼클릭	[취소하기] → [확인]	제목 '멤버 생성 취소' 모달 → 입력 폐기 후 멤버 리스트로 이동
TC_MBR_0054	멤버 리스트	멤버 생성		멤버 생성	백오피스 액션	멤버 생성 활동 로그	'멤버 {멤버명}을(를) 생성했습니다.' 로그
TC_MBR_0055	멤버 리스트	멤버 상세	기본정보 탭	멤버 상세(기본정보)	모달확인	멤버 리스트 행 클릭 → 상세 진입	기본정보 탭 기본 활성 진입
TC_MBR_0056	멤버 리스트	멤버 상세	기본정보 탭	멤버 상세(기본정보)	UI확인	브레드크럼·표기·타이틀·탭	'홈>아티스트>멤버리스트>{멤버명}' + '아티스트 멤버' + 기본정보/소속그룹 탭 + [수정하기]
TC_MBR_0057	멤버 리스트	멤버 상세	멤버 상태	멤버 상세(기본정보)	UI확인	멤버 상태 카드	상태 배지(활성/비활성)·프로필 이미지·생성자/생성일시/수정자/수정일시
TC_MBR_0058	멤버 리스트	멤버 상세	멤버 상태	멤버 상세(기본정보)	버튼클릭	운영 상태 토글 클릭	즉시 활성↔비활성 변경 + '멤버를 활성/비활성 처리했습니다' 토스트(확인 모달 없음)
TC_MBR_0059	멤버 리스트	멤버 상세	본문	멤버 상세(기본정보)	UI확인	멤버명·프로필 속성	멤버명 3언어 + 소속사/생년월일/별자리/성별/키/몸무게(미입력 '-')
TC_MBR_0060	멤버 리스트	멤버 상세	본문	멤버 상세(기본정보)	UI확인	다국어 소개	멤버소개·인사말·취미·좌우명 한/영/일(미입력 '-')
TC_MBR_0061	멤버 리스트	멤버 상세	기본정보 탭	멤버 상세(기본정보)	상태확인	Loading / Error	Skeleton / '데이터를 불러오지 못했습니다.'+[재시도]
TC_MBR_0062	멤버 리스트	멤버 상세	기본정보 탭	멤버 상세(기본정보)	백오피스 액션	상태 변경 활동 로그	'멤버 {멤버명}을(를) {활성/비활성}으로 변경했습니다.' 로그
TC_MBR_0063	멤버 리스트	멤버 수정		멤버 수정	모달확인	상세에서 [수정하기] 클릭	멤버 수정 페이지(/edit) 진입, 기존값 채워짐, 타이틀 '멤버 수정'
TC_MBR_0064	멤버 리스트	멤버 수정	입력 폼	멤버 수정	UI확인	액션·이미지	[취소하기]·[수정하기] + 프로필이미지 기존 이미지+[변경]만(제거 없음)
TC_MBR_0065	멤버 리스트	멤버 수정	입력 폼	멤버 수정	상태확인	변경 없을 때 [수정하기]	비활성
TC_MBR_0066	멤버 리스트	멤버 수정	입력 폼	멤버 수정	상태확인	필드 변경 시 / 원래 값 복원 시	변경 시 [수정하기] 활성 / 복원 시 다시 비활성
TC_MBR_0067	멤버 리스트	멤버 수정	입력 폼	멤버 수정	에러 메시지 확인	이미지 교체·필수·범위 재검증	생성과 동일 검증 적용(5MB·형식·키/몸무게 범위·3언어 필수)
TC_MBR_0068	멤버 리스트	멤버 수정	완료 모달	멤버 수정 완료 모달	데이터입력	[수정하기] → [확인]	제목 '멤버 수정' 모달 → '멤버 정보를 수정했습니다.' 토스트 + 멤버 상세로 이동
TC_MBR_0069	멤버 리스트	멤버 수정	취소 모달	멤버 수정 취소 모달	버튼클릭	[취소하기] → [확인]	제목 '멤버 수정 취소' 모달 → 변경 폐기 후 멤버 상세로 이동
TC_MBR_0070	멤버 리스트	멤버 수정		멤버 수정	백오피스 액션	멤버 수정 활동 로그	'멤버 {멤버명}의 정보를 수정했습니다.' 로그
TC_MBR_0071	멤버 리스트	멤버 상세	소속그룹 탭	멤버 상세(소속그룹)	모달확인	상세에서 [소속그룹] 탭 클릭	소속그룹 탭 전환(?tab=groups)
TC_MBR_0072	멤버 리스트	멤버 상세	소속그룹 탭	멤버 상세(소속그룹)	UI확인	검색·필터	그룹 운영 상태 필터(전체/Active/Inactive)·그룹명 검색·[초기화]
TC_MBR_0073	멤버 리스트	멤버 상세	소속그룹 탭	멤버 상세(소속그룹)	UI확인	테이블 컬럼·정렬	상태/소속 그룹명/그룹내 포지션/멤버 수/설명/업데이트 일시, 업데이트 일시 내림차순(고정)
TC_MBR_0074	멤버 리스트	멤버 상세	소속그룹 탭	멤버 상세(소속그룹)	버튼클릭	소속 그룹명 클릭	그룹 상세(ART-301)로 이동
TC_MBR_0075	멤버 리스트	멤버 상세	소속그룹 탭	멤버 상세(소속그룹)	UI확인	페이지네이션	페이지당 10건
TC_MBR_0076	멤버 리스트	멤버 상세	소속그룹 탭	멤버 상세(소속그룹)	상태확인	소속 0개 / 검색 0건 / Error	'소속된 그룹이 없습니다.' / '검색 결과가 없습니다.' / '데이터를 불러오지 못했습니다.'+[재시도]
TC_MBR_0077	멤버 리스트	앱 연동	멤버 노출	앱(아티스트)	앱 연동 확인	(사전조건) 앱 계정·소속 그룹 팔로우 상태 준비 — 멤버 소속 그룹 Active + 탐색 노출 켬 → 앱	해당 그룹 내 멤버 정보(이름·프로필·소개) 노출 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MBR_0078	멤버 리스트	앱 연동	멤버 상태	앱(아티스트)	앱 연동 확인	멤버 상태 Inactive 전환 → 앱 신규 선택	앱에서 해당 멤버 신규 선택 불가, 이미 팔로우/선택한 사용자는 유지 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MBR_0079	멤버 리스트	앱 연동	멤버 정보	앱(아티스트)	앱 연동 확인	멤버 정보 수정 → 앱	변경된 멤버 정보 앱 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MBR_0080	멤버 리스트	앱 연동	멤버 상태	앱(아티스트)	앱 연동 확인	멤버 운영 상태(활성↔비활성) 변경 → 기존 팔로우 사용자 개인화	상태 변경이 기존 팔로우/선택한 사용자의 개인화 화면 경험에 미치는 영향 확인(경험 유지) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
