TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_BVM_0001	민팅 관리	민팅 리스트		민팅 이벤트 리스트	UI확인	사이드바 BIVE > 민팅 관리 → /bive/minting	민팅 이벤트 리스트 진입
TC_BVM_0002	민팅 관리	민팅 리스트	탭	민팅 이벤트 리스트	UI확인	유형 탭 4종	Event(기본)/Ticket/Mix/Pick, 탭 전환 시 필터 초기화
TC_BVM_0003	민팅 관리	민팅 리스트	검색·필터	민팅 이벤트 리스트	UI확인	필터·[+ 캠페인 생성]	상태(전체/초안/활성/중지/종료)·정렬(생성일)·캠페인명 검색 + 생성 버튼(탭별 type)
TC_BVM_0004	민팅 관리	민팅 리스트	테이블	민팅 이벤트 리스트	UI확인	테이블 컬럼	상태 배지·보상방식 배지(가중치/지정)·캠페인명·연결 기능·등록 BIVE 수·발행 수·생성일
TC_BVM_0005	민팅 관리	민팅 리스트	테이블	민팅 이벤트 리스트	버튼클릭	행 클릭	민팅 상세(/minting/{id}) 이동
TC_BVM_0006	민팅 관리	민팅 리스트	테이블	민팅 이벤트 리스트	상태확인	0건 / 조건 0건	'등록된 캠페인이 없습니다.' / '조건에 맞는 캠페인이 없습니다.'
TC_BVM_0007	민팅 관리	캠페인 생성	기본정보 탭	민팅 이벤트 생성	모달확인	[+ 캠페인 생성]	캠페인 생성(2탭: 기본정보/BIVE 보상) 진입, 타이틀 '{유형} 캠페인 생성'
TC_BVM_0008	민팅 관리	캠페인 생성	기본정보 탭	민팅 이벤트 생성	데이터입력	캠페인명·연결 기능	캠페인명(2~30자) + 연결 기능 7종(회원가입·출석체크·래플·팬퀘스트·에피소드·덕력랭킹·아티스트 키우기 보상)
TC_BVM_0009	민팅 관리	캠페인 생성	BIVE 보상 탭	민팅 이벤트 생성	UI확인	보상 방식 선택	가중치(확률 1개 추첨·가중치 합 표시) XOR 지정(동시 발행 최대 10종·n/10 카운터) 라디오
TC_BVM_0010	민팅 관리	캠페인 생성	BIVE 보상 탭	민팅 이벤트 생성	UI확인	BIVE 보상 테이블	BIVE명칭·그룹·아티스트·등급·등급번호·가중치(1~999, 가중치 방식만)·비중·삭제, Empty '추가 버튼…'
TC_BVM_0011	민팅 관리	캠페인 생성	보상 추가 모달	BIVE 보상 추가	모달확인	[+ 추가하기]	보상 추가 모달 — 에디션 필수 선택, 그룹·아티스트·등급 필터
TC_BVM_0012	민팅 관리	캠페인 생성	보상 추가 모달	BIVE 보상 추가	데이터입력	BIVE 다중 선택 후 [추가하기]	선택한 BIVE가 보상 테이블에 추가됨
TC_BVM_0013	민팅 관리	캠페인 생성	보상 추가 모달	BIVE 보상 추가	상태확인	(사전조건) 이미 보상 테이블에 등록된 BIVE — 모달에서 표시 확인	이미 등록된 BIVE는 체크 불가
TC_BVM_0014	민팅 관리	캠페인 생성	보상 추가 모달	BIVE 보상 추가	상태확인	(사전조건) 비활성 BIVE 존재 — 모달에서 표시 확인	비활성 BIVE는 체크 불가
TC_BVM_0015	민팅 관리	캠페인 생성	보상 추가 모달	BIVE 보상 추가	상태확인	(사전조건) 지정 방식 + 이미 10종 선택 상태 — 추가 시도	지정 방식 10종 도달 시 추가 차단
TC_BVM_0016	민팅 관리	캠페인 생성	검증	민팅 이벤트 생성	에러 메시지 확인	필수 누락	캠페인명·연결기능·BIVE 보상≥1 미충족 시 '설정되지 않은 정보가 있습니다.'
TC_BVM_0017	민팅 관리	캠페인 상세	헤더	민팅 이벤트 상세	UI확인	상태별 액션	초안=[삭제][저장][활성화] / 활성=[일시중지] / 중지=[저장][활성화] / 종료=없음
TC_BVM_0018	민팅 관리	캠페인 상세	기본정보 탭	민팅 이벤트 상세	상태확인	캠페인명·연결 기능 잠금	초안=수정 가능 / 활성·중지·종료=read-only + 관리 정보 카드
TC_BVM_0019	민팅 관리	캠페인 상세	BIVE 보상 탭	민팅 이벤트 상세	상태확인	(사전조건) 초안 또는 중지 캠페인 — BIVE 보상 탭 진입	보상 방식 전환·BIVE 추가/삭제 가능
TC_BVM_0020	민팅 관리	캠페인 상세	BIVE 보상 탭	민팅 이벤트 상세	상태확인	(사전조건) 활성 또는 종료 캠페인 — BIVE 보상 탭 진입	보상 방식 전환·추가/삭제 비활성(read-only)
TC_BVM_0021	민팅 관리	캠페인 상세	BIVE 보상 탭	민팅 이벤트 상세	상태확인	(사전조건) 가중치 방식 캠페인 — 보상 테이블 컬럼 확인	가중치 방식만 가중치·비중 컬럼 노출
TC_BVM_0022	민팅 관리	캠페인 상세	보상내역 탭	민팅 이벤트 상세	UI확인	보상내역	활성·중지·종료에 의미, BIVE명칭·민팅수·가중치·비중, 제거된 BIVE '제거됨' 배지, 지정은 가중치/비중 '-'
TC_BVM_0023	민팅 관리	캠페인 상세	활성화	민팅 이벤트 상세	데이터입력	초안·중지 [활성화]	저장·BIVE≥1 충족 시 활성 전환·자동 민팅 시작(미저장 시 활성화 실패)
TC_BVM_0024	민팅 관리	캠페인 상세	일시중지	민팅 이벤트 상세	데이터입력	활성 [일시중지]	중지 전환·자동 민팅 중단
TC_BVM_0025	민팅 관리	캠페인 상세	삭제	민팅 이벤트 상세	상태확인	초안 [삭제] / 종료	초안만 삭제(활성·중지·종료 미노출), 종료는 개발팀 수동
TC_BVM_0026	민팅 관리	앱 연동	자동 민팅	앱 BIVE 민팅	앱 연동 확인	연결 기능 발생(회원가입·출석체크·래플 등 앱 측 이벤트) → 자동 민팅	활성 캠페인만 동작(중지·종료 미발행), 가중치=확률 1개 추첨 / 지정=등록 BIVE 동시 발행 (트리거 발생 및 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_BVM_0027	민팅 관리	앱 연동	보유	앱 BIVE 민팅	앱 연동 확인	민팅 → 회원 BIVE 보유	회원 BIVE 보유 목록 반영·온체인 트랜잭션(BSCScan) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_BVM_0028	민팅 관리	앱 연동	자동 민팅	앱 BIVE 민팅	앱 연동 확인	(사전조건) 회원가입 트리거 연결 활성 캠페인 — 앱 회원가입 발생 → 자동 민팅	회원가입 발생 시 활성 캠페인 자동 민팅 1회 동작, 가중치=확률 1개 추첨 / 지정=등록 BIVE 동시 발행 (트리거 발생 및 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_BVM_0029	민팅 관리	앱 연동	자동 민팅	앱 BIVE 민팅	앱 연동 확인	(사전조건) 출석체크 트리거 연결 활성 캠페인 — 앱 출석체크 발생 → 자동 민팅	출석체크 발생 시 활성 캠페인 자동 민팅 동작 (트리거 발생 및 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
