TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_SYP_0001	권한관리	권한 그룹 리스트		권한관리	UI확인	사이드바 관리자 > 권한관리 → /admins/permissions	권한 그룹 리스트 진입(SUPER 전용), 타이틀 "권한관리" (BO 실측 — QA "권한 그룹 리스트")
TC_SYP_0002	권한관리	권한 그룹 리스트	권한	권한관리	상태확인	비-SUPER 직접 URL 접근	'접근 권한이 없습니다.' 차단
TC_SYP_0003	권한관리	권한 그룹 리스트	통계	권한관리	UI확인	상태 통계 3카드	전체/Active/Inactive + 건수
TC_SYP_0004	권한관리	권한 그룹 리스트	검색·필터	권한관리	데이터입력	상태 필터·권한명 검색·[초기화]	상태(전체/Active/Inactive)·권한명 부분 일치·초기화
TC_SYP_0005	권한관리	권한 그룹 리스트	테이블	권한관리	UI확인	테이블 컬럼	권한상태 배지·권한명(유형 배지: 프리셋 수정불가/기본값/운영자 정의)·관리자 수·관리자명
TC_SYP_0006	권한관리	권한 그룹 리스트	테이블	권한관리	버튼클릭	행 클릭	권한 그룹 상세 페이지(?tab= 동기화)로 이동
TC_SYP_0007	권한관리	권한 그룹 리스트	테이블	권한관리	상태확인	0건 / 조회 실패	'검색 결과가 없습니다.' / '권한 그룹 목록 조회에 실패하였습니다.'+[재시도]
TC_SYP_0008	권한관리	권한 생성 모달	생성	권한 생성	모달확인	[권한 생성] 클릭(운영자 정의만)	권한 생성 모달 — 권한명·설명·권한 매트릭스(대메뉴 × 읽기/쓰기/삭제 체크박스)
TC_SYP_0009	권한관리	권한 생성 모달	생성	권한 생성	데이터입력	매트릭스 체크·[생성]	생성 모달에서 12영역 × R/W/D 초기값 설정·권한명 필수 → [생성] 시 운영자 정의 그룹 신규 추가(신규 생성 시점 검증)
TC_SYP_0010	권한관리	권한 그룹 상세	탭	권한 그룹 상세	UI확인	상세 3탭	기본정보(권한명·설명·상태·유형)·권한설정(12영역 매트릭스)·관리자(매핑 리스트·N명·[관리자 추가]), URL ?tab 동기화
TC_SYP_0011	권한관리	권한 그룹 상세	탭	권한 그룹 상세	상태확인	그룹 유형별 편집	프리셋·기본값=수정/삭제 비활성 / 운영자 정의=수정/삭제 활성(매핑 0명일 때만 삭제)
TC_SYP_0012	권한관리	권한 그룹 상세	권한설정	권한 그룹 상세	상태확인	매트릭스 수정(운영자 정의)	상세 권한설정 탭에서 기존 그룹의 12영역 R/W/D 변경·저장 시 매핑 관리자 세션 즉시 권한 갱신(기존 그룹 수정 시점 검증 — 생성 모달과 구분)
TC_SYP_0013	권한관리	권한 그룹 상세	검증	권한 그룹 상세	상태확인	SUPER 전용 액션	영구 정지·자산 회수 등 고위험 액션은 SUPER 그룹만 수행, 운영자 정의 그룹 매트릭스로 부여 불가
TC_SYP_0014	권한관리	권한 그룹 상세	검증	권한 그룹 상세	상태확인	SYS 영역 토글 제한	SYS(관리자/권한) 영역은 운영자 정의 그룹 매트릭스에서 R/W/D 토글 부여 불가(체크박스 비활성)
TC_SYP_0015	권한관리	권한 그룹 상세	검증	권한 그룹 상세	상태확인	권한 합집합 규칙	1관리자=1그룹(SYP_0015)이므로 합집합은 단일 그룹 내 12영역 권한의 OR 합집합으로 적용(여러 영역 중 하나라도 허용 시 해당 영역 접근 허용)
TC_SYP_0016	권한관리	권한 그룹 상세	삭제 가드레일	권한 그룹 삭제	상태확인	[삭제하기] 조건	운영자 정의+매핑 0명일 때만 활성, 매핑 ≥1명 시 '먼저 다른 그룹으로 이동' / 프리셋·기본값 비활성
TC_SYP_0017	권한관리	권한 그룹 상세	관리자 매핑	권한 그룹 상세	데이터입력	관리자 추가/제거	[관리자 추가] 매핑·[그룹에서 제거], Inactive 그룹 신규 매핑 차단, 1관리자=1그룹
TC_SYP_0018	권한관리	시스템 연동	반영	BO 접근 제어	시스템 연동 확인	매트릭스 변경 → BO	권한 그룹 매트릭스 수정 시 매핑된 모든 관리자 세션 즉시 권한 갱신·활동 로그(영역×항목별)
TC_SYP_0019	권한관리	시스템 연동	참조	BO 접근 제어	시스템 연동 확인	권한 그룹 = 전 화면 권한 SSOT	모든 BO 화면의 '권한은 [CEB-BO-SYS-102]를 따른다' 참조 — 읽기/쓰기/삭제 범위 결정
