TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_SUP_0001	서포트 관리	리스트		서포트 리스트	UI확인	사이드바 아티스트 > 서포트 관리 클릭 → /artists/support 진입	서포트 관리 리스트 진입
TC_SUP_0002	서포트 관리	리스트		서포트 리스트	UI확인	브레드크럼·타이틀·헤더 버튼	'홈>아티스트>서포트 관리' + 타이틀 + [변동 내역]·[이벤트 생성]
TC_SUP_0003	서포트 관리	리스트	대시보드	서포트 리스트	UI확인	상태별 카드 8종	임시저장/모집대기/모집중/달성/집행중/완료/미달성종료/집행취소 카드 + 건수, 라이프사이클 순
TC_SUP_0004	서포트 관리	리스트	대시보드	서포트 리스트	UI확인	카드 색상	상태별 배지 색상이 피그마 디자인 토큰 기준과 정합(모집대기=하늘·모집중=초록·달성=남색·집행중=주황·완료=진회색·미달성종료/집행취소=분홍)
TC_SUP_0005	서포트 관리	리스트	대시보드	서포트 리스트	버튼클릭	상태 카드 클릭 → 재클릭	해당 상태 단일 필터 → 재클릭 시 전체 해제(토글)
TC_SUP_0006	서포트 관리	리스트	검색·필터	서포트 리스트	UI확인	상태 필터 드롭다운	전체 + 8상태
TC_SUP_0007	서포트 관리	리스트	검색·필터	서포트 리스트	UI확인	그룹 필터 드롭다운	전체 + 활성 아티스트
TC_SUP_0008	서포트 관리	리스트	검색·필터	서포트 리스트	데이터입력	이벤트명 검색 + [초기화]	부분 일치 검색, 초기화 시 리셋
TC_SUP_0009	서포트 관리	리스트	테이블	서포트 리스트	UI확인	테이블 컬럼	상태/이벤트명/그룹/기간/응원자 수/누적 응원/달성률
TC_SUP_0010	서포트 관리	리스트	테이블	서포트 리스트	UI확인	달성률 강조	100% 이상 시 강조(인디고 굵게)
TC_SUP_0011	서포트 관리	리스트	테이블	서포트 리스트	UI확인	정렬	마감 임박순→생성 최신순, 종료군(완료·미달성종료·집행취소)은 하단(고정)
TC_SUP_0012	서포트 관리	리스트	테이블	서포트 리스트	버튼클릭	행 클릭	서포트 상세(기본정보 탭)로 이동
TC_SUP_0013	서포트 관리	리스트	테이블	서포트 리스트	UI확인	페이지네이션	페이지당 10건, 필터 변경 시 1페이지
TC_SUP_0014	서포트 관리	리스트	테이블	서포트 리스트	상태확인	Loading / 전체 0건 / 검색 0건	Skeleton / '생성된 서포트 이벤트가 없습니다.' / '검색 결과가 없습니다.'
TC_SUP_0015	서포트 관리	리스트	테이블	서포트 리스트	에러 메시지 확인	목록 조회 실패	에러 안내 + [재시도]
TC_SUP_0016	서포트 관리	변동 내역		응원·반환 변동 내역	모달확인	리스트에서 [변동 내역] 클릭	변동 내역 페이지(/artists/support/history) 진입
TC_SUP_0017	서포트 관리	변동 내역		응원·반환 변동 내역	UI확인	응원/반환 탭	응원·반환 2탭 + 각 건수 표시
TC_SUP_0018	서포트 관리	변동 내역	검색·필터	응원·반환 변동 내역	데이터입력	이벤트·그룹·기간·닉네임 필터 + [초기화]	AND 조합 필터, 초기화는 탭 유지
TC_SUP_0019	서포트 관리	변동 내역	테이블	응원·반환 변동 내역	UI확인	테이블 컬럼·색상	회원/이벤트명/그룹/응원량(응원 탭)·반환량(반환 탭)/일시, 회차별 1행 (BO 실측 — QA "변동 내용"→탭별 "응원량/반환량")
TC_SUP_0020	서포트 관리	변동 내역	테이블	응원·반환 변동 내역	UI확인	정렬·페이지네이션	최신순, 페이지당 10건
TC_SUP_0021	서포트 관리	변동 내역	테이블	응원·반환 변동 내역	상태확인	검색 0건	'검색 결과가 없습니다.'
TC_SUP_0022	서포트 관리	생성		서포트 생성	모달확인	리스트에서 [이벤트 생성] 클릭	생성 페이지(/new) 진입
TC_SUP_0023	서포트 관리	생성	기본 정보	서포트 생성	UI확인	이벤트명·설명 다국어	한국어/영어/일본어(이벤트명 50자·설명 500자), 미입력 칸 빨간 점
TC_SUP_0024	서포트 관리	생성	대상·목표	서포트 생성	UI확인	그룹·목표 응원량	그룹 드롭다운(활성) + 목표 덕력(1 이상 정수) (BO 실측 — QA "목표 응원량"→"목표 덕력")
