TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_FRS_0001	보상·레벨업 현황	현황 공통		보상·레벨업 현황	UI확인	사이드바 아티스트 > 보상·레벨업 현황 클릭 → /artists/fandom/status 진입	통합 현황 페이지 진입
TC_FRS_0002	보상·레벨업 현황	현황 공통		보상·레벨업 현황	UI확인	브레드크럼·타이틀·부제	'홈>아티스트>팬덤레벨>보상·레벨업 현황' + 타이틀 '보상·레벨업 현황' + 부제 '전체 시즌 통합 현황'
TC_FRS_0003	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	UI확인	그룹 필터 드롭다운	그룹(전체) + 활성 그룹 전체(현재 운영 목록과 일치)
TC_FRS_0004	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	UI확인	시즌 필터 드롭다운	시즌(전체) + 전체 시즌 목록
TC_FRS_0005	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	UI확인	레벨 필터 드롭다운	레벨(전체) + 전체 시즌 통합 레벨 목록(정렬)
TC_FRS_0006	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	데이터입력	기간 From~To(날짜) 입력	레벨업·지급 일시 기준 기간 필터(YYYY.MM.DD 비교)
TC_FRS_0007	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	데이터입력	기간 경계 케이스 — From=To 동일일 / From>To 역전 입력	From=To는 해당 1일만 조회 / From>To 역전은 차단 또는 0건(경계 처리 정합)
TC_FRS_0008	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	데이터입력	그룹+시즌+레벨+기간 조합	AND 조합 필터 결과 노출
TC_FRS_0009	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	버튼클릭	[초기화] 클릭	모든 필터·검색어·페이지 초기화
TC_FRS_0010	보상·레벨업 현황	현황 공통	필터	보상·레벨업 현황	상태확인	필터 변경 시	페이지 1로 리셋
TC_FRS_0011	보상·레벨업 현황	현황 공통	섹션 전환	보상·레벨업 현황	UI확인	섹션 토글 2종	레벨업 이력 / 디지털 굿즈(BIVE) 지급 연계
TC_FRS_0012	보상·레벨업 현황	현황 공통	섹션 전환	보상·레벨업 현황	버튼클릭	섹션 전환	해당 섹션 테이블로 전환 + 페이지 1로 리셋
TC_FRS_0013	보상·레벨업 현황	현황 공통	섹션 전환	보상·레벨업 현황	UI확인	닉네임 검색 노출 조건	닉네임 검색은 BIVE 지급 연계 섹션에서만 노출
TC_FRS_0014	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	UI확인	레벨업 이력 컬럼	그룹/시즌/레벨/레벨업 일시/연결 보상
TC_FRS_0015	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	UI확인	(사전조건) 복수 시즌에 레벨업 이력 존재, 조회 범위	전체 시즌 통합(모든 시즌 레벨업 이력 합산)
TC_FRS_0016	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	UI확인	(사전조건) 복수 시즌에 레벨업 이력 존재, 정렬	레벨업 일시 내림차순(최신순)
TC_FRS_0017	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	버튼클릭	그룹·시즌 링크 클릭	해당 시즌 상세(/artists/fandom/{id})로 이동
TC_FRS_0018	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	UI확인	연결 보상 표기	디지털 굿즈 캠페인명 / 래플·서포트 예고 문구 / '-'(미설정)
TC_FRS_0019	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	상태확인	레벨별 회원 수 컬럼 없음	통합 현황은 레벨별 회원 수 미표시(시즌 상세 EVT-205에서만 시즌 전체 기여 회원 표시)
TC_FRS_0020	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	UI확인	페이지네이션	페이지당 10건
TC_FRS_0021	보상·레벨업 현황	레벨업 이력	테이블	보상·레벨업 현황	상태확인	전체 0건 / 검색 0건	'조회된 내역이 없습니다.' / '검색 결과가 없습니다.'
TC_FRS_0022	보상·레벨업 현황	BIVE 지급 연계	테이블	보상·레벨업 현황	UI확인	BIVE 지급 컬럼	그룹/시즌/레벨/회원/캠페인/지급 상태/일시
TC_FRS_0023	보상·레벨업 현황	BIVE 지급 연계	테이블	보상·레벨업 현황	UI확인	지급 상태 배지	대기(회색)/민팅중(파랑)/완료(에메랄드)
TC_FRS_0024	보상·레벨업 현황	BIVE 지급 연계	필터	보상·레벨업 현황	데이터입력	닉네임 검색	회원 닉네임 부분 일치 검색
TC_FRS_0025	보상·레벨업 현황	BIVE 지급 연계	테이블	보상·레벨업 현황	UI확인	(사전조건) 복수 시즌에 레벨업 이력 존재, 정렬	지급 일시 내림차순(최신순)
TC_FRS_0026	보상·레벨업 현황	BIVE 지급 연계	테이블	보상·레벨업 현황	UI확인	디지털 굿즈만 대상	래플·서포트 예고는 지급 대상 아님 — 표시되지 않음
TC_FRS_0027	보상·레벨업 현황	BIVE 지급 연계	테이블	보상·레벨업 현황	UI확인	페이지네이션	페이지당 10건
TC_FRS_0028	보상·레벨업 현황	BIVE 지급 연계	테이블	보상·레벨업 현황	상태확인	전체 0건 / 검색 0건	'조회된 내역이 없습니다.' / '검색 결과가 없습니다.'
TC_FRS_0029	보상·레벨업 현황	현황 공통	범위	보상·레벨업 현황	상태확인	통합 vs 시즌 구분	본 화면=전체 시즌 통합 조회(필터 보유). 시즌 상세 현황 탭(EVT-205)=특정 시즌 1건(필터 없음)
TC_FRS_0030	보상·레벨업 현황	현황 공통	범위	보상·레벨업 현황	상태확인	읽기 전용	전체 섹션 조회 전용(편집·상태 변경 액션 없음)
TC_FRS_0031	보상·레벨업 현황	앱 연동	BIVE	보상·레벨업 현황	앱 연동 확인	BIVE 지급 상태 실시간 반영	대기/민팅중/완료 상태는 BIVE 영역 민팅 처리 상태가 실시간 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_FRS_0032	보상·레벨업 현황	앱 연동	레벨업	보상·레벨업 현황	앱 연동 확인	레벨 달성 → 현황 반영	팬덤 레벨 달성(앱) 시 레벨업 이력·BIVE 지급 연계에 자동 기록 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
