TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_RFL_0001	래플	리스트		래플 리스트	UI확인	사이드바 래플 > 래플 → /raffle	래플 리스트 진입
TC_RFL_0002	래플	리스트	검색·필터	래플 리스트	UI확인	상태·검색·[초기화]·[생성하기]	상태(전체/임시저장/진행중/추첨대기/종료)·검색 유형(타이틀/아티스트)·키워드·생성 버튼
TC_RFL_0003	래플	리스트	테이블	래플 리스트	UI확인	테이블 컬럼	상태 배지·타이틀·아티스트·기간·누적 참여자·누적 응모권·숨김 여부
TC_RFL_0004	래플	리스트	테이블	래플 리스트	상태확인	정렬	진행중·추첨대기=마감 임박순 / 종료=마감 최근순 / 임시저장=최근 수정순(상태 그룹별)
TC_RFL_0005	래플	리스트	테이블	래플 리스트	버튼클릭	행 클릭	래플 상세(/raffle/{id})로 이동
TC_RFL_0006	래플	리스트	테이블	래플 리스트	상태확인	페이지네이션 / 0건	페이지당 10건 / '검색 결과가 없습니다.' (BO 실측: QA '20건'·'래플이 없습니다.' 아님)
TC_RFL_0007	래플	생성	래플 정보	래플 생성	모달확인	[생성하기]	래플 생성 진입(좌: 래플 정보 / 중: 보상 / 우: 수령 가이드)
TC_RFL_0008	래플	생성	래플 정보	래플 생성	UI확인	기본 입력	아티스트(필수)·마감일시·대표 이미지(필수)·타이틀(100자)·설명(200자) 다국어
TC_RFL_0009	래플	생성	보상	래플 생성	UI확인	보상 기본 설정	당첨 추첨 수(≥1)·보상지급 타입(현장 수령/배송 수령)·경품 단위(장/개)·경품 내역(다국어)
TC_RFL_0010	래플	생성	보상	래플 생성	UI확인	BIVE 추가 보상	BIVE 보상 지급 체크 + 민팅 이벤트 선택(체크 시 필수, 1래플=1캠페인)
TC_RFL_0011	래플	생성	수령 가이드	래플 생성	상태확인	수령방식 분기	배송 수령=배송지 입력 마감일시·폼 URL / 현장 수령=수령 시작/마감일·운영 시간·수령 장소(다국어)·지참물(다국어)
TC_RFL_0012	래플	생성	검증	래플 생성	에러 메시지 확인	임시저장 다국어 검증	1개 언어 이상 입력 시 [생성하기](임시저장) 가능
TC_RFL_0013	래플	생성	검증	래플 생성	에러 메시지 확인	게시 다국어·BIVE 검증	게시=KO/EN/JA 3개 모두 필수, BIVE 보상 지급 ON 시 민팅 이벤트 미선택이면 게시 차단
TC_RFL_0014	래플	생성	저장	래플 생성	데이터입력	[생성하기] / [취소]	임시저장 생성 + 리스트 / 취소 시 변경 있으면 확인
TC_RFL_0015	래플	상세	헤더	래플 상세	모달확인	행 클릭 → 상세	타이틀·상태 배지·숨김 배지(종료) + 상태별 액션 + 3탭(기본정보/응모내역/추첨내역)
TC_RFL_0016	래플	상세	헤더	래플 상세	UI확인	상태별 액션	임시저장=[수정][삭제][게시하기] / 진행중=[수정][종료하기] / 종료=[숨김 처리/해제]
TC_RFL_0017	래플	상세	기본정보 탭	래플 상세(기본정보)	UI확인	기본정보 표시	통계 4카드(총 응모자·총 응모권·목표 당첨자·지급 완료)·래플 정보·관리 정보·다국어·BIVE·수령 가이드(분기)·유의사항·이미지 라이트박스
TC_RFL_0018	래플	상세	응모내역 탭	래플 상세(응모내역)	UI확인	응모내역	통계 3카드·필터(정렬·닉네임/전화번호 검색)·테이블(닉네임·전화·최근 사용 응모권·응모일시·누적 응모권·상태)
TC_RFL_0019	래플	상세	응모내역 탭	래플 상세(응모내역)	데이터입력	추첨대기 일괄 처리	체크박스 선택 → [선택 N건 추첨 제외]/[제외 해제]/[선택 해제]
TC_RFL_0020	래플	상세	응모내역 탭	래플 상세(응모내역)	버튼클릭	응모자 행 클릭	응모자 상세 모달(응모 이력 테이블·합계·10건 페이지)
TC_RFL_0021	래플	상세	추첨내역 탭	래플 상세(추첨내역)	상태확인	상태별 안내	임시저장·진행중=추첨 불가 안내 / 추첨대기='추첨대기 상태에서는 하단 추첨하기 버튼을 눌러 추첨을 진행해주세요' + [추첨하기]. BO 실측: 추첨대기는 응모 0건이어도 [추첨하기] 노출(QA '0건=자동 종료·입상자 없음'과 다름 — 재확인필요)
TC_RFL_0022	래플	상세	추첨내역 탭	래플 상세(추첨내역)	UI확인	종료 통계 카드	(사전조건) 추첨 확정된 종료 래플(응모 1건↑) 준비 — 테스트 BO 데이터 생성. 통계 4카드 표시
TC_RFL_0023	래플	상세	추첨내역 탭	래플 상세(추첨내역)	UI확인	종료 추첨 시드	(사전조건) 추첨 확정된 종료 래플 준비. 추첨 시드 정보(시드·일시·담당자) 표시
TC_RFL_0024	래플	상세	추첨내역 탭	래플 상세(추첨내역)	UI확인	종료 필터	(사전조건) 추첨 확정된 종료 래플 준비. 당첨/미당첨 필터 동작
TC_RFL_0025	래플	상세	추첨내역 탭	래플 상세(추첨내역)	버튼클릭	당첨자 명단 다운로드	(사전조건) 추첨 확정된 종료 래플 준비. [당첨자 명단 다운로드] 클릭 시 CSV 내려받기
TC_RFL_0026	래플	상세	추첨내역 탭	래플 상세(추첨내역)	UI확인	종료 테이블	(사전조건) 추첨 확정된 종료 래플 준비. 추첨내역 테이블(보상 지급 토글·비고) 표시
TC_RFL_0027	래플	추첨 모달	추첨	래플 추첨하기	데이터입력	추첨대기 [추첨하기]	가추첨 시드·가중치 기반 추첨(응모권 수 정비례)·재추첨(무제한)·당첨자 미리보기(10건 페이지) → [추첨 확정]
TC_RFL_0028	래플	추첨 모달	추첨	래플 추첨하기	상태확인	확정 후	종료 전환·되돌리기 불가·동일 래플 중복 당첨 불가·제외 명단 동결
TC_RFL_0029	래플	당첨자 관리	비고 모달	당첨자 비고	데이터입력	당첨자 [비고]	비고 textarea(200자) → [저장], 변경 없으면 안내
TC_RFL_0030	래플	당첨자 관리	보상 지급	래플 상세(추첨내역)	데이터입력	당첨자 보상 지급 토글	당첨자만 활성, 지급 완료 반영
TC_RFL_0031	래플	게시/종료/삭제 모달	게시	래플 게시 확인	데이터입력	임시저장 [게시하기]	게시 조건(다국어 3종 등) 충족 시 모달 → 진행중 전환
