TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_GRP_0001	그룹 리스트	그룹 리스트		그룹 리스트	UI확인	사이드바 아티스트 > 그룹 리스트 클릭 → /artists/groups 진입	그룹 리스트 페이지 진입
TC_GRP_0002	그룹 리스트	그룹 리스트		그룹 리스트	UI확인	상단 브레드크럼 확인	'홈 > 아티스트 > 그룹 리스트' 표시
TC_GRP_0003	그룹 리스트	그룹 리스트		그룹 리스트	UI확인	페이지 타이틀 확인	'그룹 리스트' 표시
TC_GRP_0004	그룹 리스트	그룹 리스트		그룹 리스트	UI확인	우측 상단 액션 버튼 확인	[포지션 설정]·[그룹 생성] 노출(쓰기 권한 시)
TC_GRP_0005	그룹 리스트	그룹 리스트	통계 카드	그룹 리스트	UI확인	상태 통계 카드 확인	전체 / Active / Inactive 3개 카드 + 건수 표시
TC_GRP_0006	그룹 리스트	그룹 리스트	통계 카드	그룹 리스트	버튼클릭	Active 카드 클릭 → 재클릭	Active 필터 적용 → 재클릭 시 전체로 해제(토글)
TC_GRP_0007	그룹 리스트	그룹 리스트	검색·필터	그룹 리스트	UI확인	상태 필터 드롭다운	전체/Active/Inactive 옵션, 기본 전체
TC_GRP_0008	그룹 리스트	그룹 리스트	검색·필터	그룹 리스트	UI확인	검색 대상 드롭다운	그룹명/멤버명 선택, 기본 그룹명
TC_GRP_0009	그룹 리스트	그룹 리스트	검색·필터	그룹 리스트	UI확인	검색 대상 변경 시 입력창 안내문	그룹명 선택 시 '그룹명 입력', 멤버명 선택 시 '멤버명 입력'
TC_GRP_0010	그룹 리스트	그룹 리스트	검색·필터	그룹 리스트	데이터입력	그룹명으로 부분 일치 검색	한국어·영어·일본어 통합 부분 일치 결과 노출
TC_GRP_0011	그룹 리스트	그룹 리스트	검색·필터	그룹 리스트	데이터입력	멤버명으로 검색	해당 멤버 소속 그룹 노출
TC_GRP_0012	그룹 리스트	그룹 리스트	검색·필터	그룹 리스트	버튼클릭	[초기화] 클릭	상태 필터·검색 대상·검색어 모두 기본값 리셋
TC_GRP_0013	그룹 리스트	그룹 리스트	테이블	그룹 리스트	UI확인	테이블 컬럼 헤더 확인	상태/그룹명/멤버 수/설명/업데이트 일시 (BO 실측: 팔로워 수·탐색 노출 컬럼 없음, 설명 컬럼 존재)
TC_GRP_0014	그룹 리스트	그룹 리스트	테이블	그룹 리스트	UI확인	행 데이터 표시	상태 배지(Active=teal/Inactive)·그룹명(한국어)·멤버 수·설명·업데이트 일시(YYYY.MM.DD HH:mm)
TC_GRP_0015	그룹 리스트	그룹 리스트	테이블	그룹 리스트	UI확인	탐색 노출 토글 컬럼 표시	BO 실측: 리스트 행에 켬/끔 토글 스위치 없음(상태는 배지). 탐색 노출 토글은 리스트 테이블에 미존재 — 재확인필요
TC_GRP_0016	그룹 리스트	그룹 리스트	테이블	그룹 리스트	버튼클릭	탐색 노출 토글 클릭	BO 실측: 리스트 행 토글 미존재 — 해당 토글/토스트 동작 BO 미반영(상세 화면 여부 재확인)
TC_GRP_0017	그룹 리스트	그룹 리스트	테이블	그룹 리스트	버튼클릭	행(그룹명) 클릭	그룹 상세(기본정보 탭)로 이동(토글과 별개)
TC_GRP_0018	그룹 리스트	그룹 리스트	테이블	그룹 리스트	UI확인	페이지네이션	페이지당 15건, 하단 중앙 (BO 실측: 전체 18건=15+3, QA "10건" 아님)
TC_GRP_0019	그룹 리스트	그룹 리스트	테이블	그룹 리스트	상태확인	필터·검색 변경 시 페이지	1페이지로 이동, 결과가 적으면 마지막 페이지로 보정
TC_GRP_0020	그룹 리스트	그룹 리스트	테이블	그룹 리스트	상태확인	초기 로딩 중	카운터·테이블 Skeleton 표시
TC_GRP_0021	그룹 리스트	그룹 리스트	테이블	그룹 리스트	상태확인	등록된 그룹 0건	'검색 결과가 없습니다.' (BO 실측 — 단일 메시지)
TC_GRP_0022	그룹 리스트	그룹 리스트	테이블	그룹 리스트	상태확인	검색 결과 0건	'검색 결과가 없습니다.' 메시지
TC_GRP_0023	그룹 리스트	그룹 리스트	테이블	그룹 리스트	에러 메시지 확인	목록 조회 실패	'그룹 목록 조회에 실패하였습니다.' + [재시도]
TC_GRP_0024	그룹 리스트	포지션 설정		포지션 설정	모달확인	그룹 리스트에서 [포지션 설정] 클릭	포지션 설정 페이지(/artists/groups/positions) 진입
TC_GRP_0025	그룹 리스트	포지션 설정		포지션 설정	UI확인	브레드크럼·타이틀	'홈 > 아티스트 > 그룹 리스트 > 포지션 설정' + 타이틀 '포지션 설정'
TC_GRP_0026	그룹 리스트	포지션 설정		포지션 설정	UI확인	[새 포지션 추가] 버튼 노출	우측 상단 노출(쓰기 권한 시)
TC_GRP_0027	그룹 리스트	포지션 설정	검색·필터	포지션 설정	UI확인	상태 필터 드롭다운	전체/사용/미사용, 기본 전체
TC_GRP_0028	그룹 리스트	포지션 설정	검색·필터	포지션 설정	데이터입력	운영자 노출명 부분 일치 검색 + [초기화]	검색 결과 노출, 초기화 시 리셋
TC_GRP_0029	그룹 리스트	포지션 설정	테이블	포지션 설정	UI확인	테이블 컬럼	상태/운영자 노출명/한국어/영어/일본어
TC_GRP_0030	그룹 리스트	포지션 설정	테이블	포지션 설정	UI확인	정렬 기준	사용 포지션 먼저, 그다음 운영자 노출명 가나다순(고정)
TC_GRP_0031	그룹 리스트	포지션 설정	테이블	포지션 설정	UI확인	페이지네이션	페이지당 10건
TC_GRP_0032	그룹 리스트	포지션 설정	테이블	포지션 설정	상태확인	Loading / 검색 0건 / 조회 실패	Skeleton / '검색 결과가 없습니다.' / '목록 조회에 실패하였습니다.'+[재시도]
TC_GRP_0033	그룹 리스트	포지션 설정	추가 모달	포지션 추가 모달	모달확인	[새 포지션 추가] 클릭	추가 모달 진입, 제목 '새 포지션 추가'
TC_GRP_0034	그룹 리스트	포지션 설정	추가 모달	포지션 추가 모달	UI확인	입력 필드 확인	운영자 노출명 / 한국어 / 영어 / 일본어(각 50자)
TC_GRP_0035	그룹 리스트	포지션 설정	추가 모달	포지션 추가 모달	에러 메시지 확인	일부 항목만 입력	[추가하기] 비활성
TC_GRP_0036	그룹 리스트	포지션 설정	추가 모달	포지션 추가 모달	에러 메시지 확인	공백만 입력	미입력으로 간주, [추가하기] 비활성
TC_GRP_0037	그룹 리스트	포지션 설정	추가 모달	포지션 추가 모달	에러 메시지 확인	운영자 노출명 중복	'이미 등록된 포지션명입니다.' 인라인 에러
TC_GRP_0038	그룹 리스트	포지션 설정	추가 모달	포지션 추가 모달	데이터입력	4개 항목 모두 입력 후 [추가하기]	상태 '사용'으로 등록 + '포지션을 추가했습니다.' 토스트 + 모달 닫힘
TC_GRP_0039	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	모달확인	테이블 행 클릭	수정 모달 진입, 제목 '포지션 수정', 기존값 채워짐
TC_GRP_0040	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	UI확인	상태설정 드롭다운	사용/미사용 드롭다운 노출(수정 모드에만)
TC_GRP_0041	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	에러 메시지 확인	운영자 노출명을 다른 포지션명으로 변경	중복 차단(자기 자신 제외) '이미 등록된 포지션명입니다.'
TC_GRP_0042	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	데이터입력	[저장하기]	'포지션을 수정했습니다.' 토스트 + 모달 닫힘
TC_GRP_0043	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	상태확인	(사전조건) 해당 포지션이 이미 멤버에 지정된 상태 — 포지션을 '미사용'으로 전환	상태가 '미사용'으로 변경됨
TC_GRP_0044	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	상태확인	(사전조건) 위 포지션 미사용 전환 후 멤버 관리 진입	멤버 관리 화면 정상 진입
TC_GRP_0045	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	상태확인	(사전조건) 위 상태에서 멤버 관리 포지션 드롭다운 확인	미사용 전환된 포지션이 선택지에서 제외됨
TC_GRP_0046	그룹 리스트	포지션 설정	수정 모달	포지션 수정 모달	상태확인	(사전조건) 위 상태에서 기지정 멤버의 포지션 표시 확인	기지정 멤버의 미사용 포지션 지정은 그대로 유지
TC_GRP_0047	그룹 리스트	포지션 설정		포지션 설정	백오피스 액션	포지션 추가·수정 활동 로그	'포지션 {운영자 노출명}을(를) 생성/수정했습니다.' 로그
TC_GRP_0048	그룹 리스트	그룹 생성		그룹 생성	모달확인	그룹 리스트에서 [그룹 생성] 클릭	그룹 생성 페이지(/create) 진입, 타이틀 '그룹 생성'
TC_GRP_0049	그룹 리스트	그룹 생성		그룹 생성	UI확인	액션 버튼 노출	[취소하기]·[생성하기] 노출, [생성하기] 초기 비활성
TC_GRP_0050	그룹 리스트	그룹 생성	입력 폼	그룹 생성	UI확인	그룹명 다국어 입력 영역	한국어/영어/일본어 탭 + 입력 필드(각 100자)
TC_GRP_0051	그룹 리스트	그룹 생성	입력 폼	그룹 생성	UI확인	그룹 소개 다국어 입력 영역	한국어/영어/일본어 탭 + textarea(각 500자)
TC_GRP_0052	그룹 리스트	그룹 생성	입력 폼	그룹 생성	UI확인	로고(심볼) 업로드 영역	1:1 권장 512×512px, 최대 5MB 안내
TC_GRP_0053	그룹 리스트	그룹 생성	입력 폼	그룹 생성	UI확인	대표이미지(배너) 업로드 영역	16:9 권장 1920×1080px, 최대 5MB 안내
TC_GRP_0054	그룹 리스트	그룹 생성	입력 폼	그룹 생성	데이터입력	로고·배너 권장 비율과 다른 비율의 이미지 업로드	크롭/경고/허용 중 실제 동작 확인(권장 비율과 다른 이미지 처리 방식)
TC_GRP_0055	그룹 리스트	그룹 생성	입력 폼	그룹 생성	UI확인	SNS·홈페이지 입력 영역	Instagram/X/YouTube/TikTok/Homepage URL(선택)
TC_GRP_0056	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	그룹명 한국어만 입력	[생성하기] 비활성 + 영어·일본어 탭 미입력 표시
TC_GRP_0057	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	그룹명 영어 미입력	[생성하기] 비활성 + 해당 탭 미입력 표시
TC_GRP_0058	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	그룹명 일본어 미입력	[생성하기] 비활성
TC_GRP_0059	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	그룹 소개 일부 언어 미입력	[생성하기] 비활성 + 미입력 탭 표시
TC_GRP_0060	그룹 리스트	그룹 생성	입력 폼	그룹 생성	데이터입력	그룹명 100자 초과 입력 시도	100자까지만 입력 가능
TC_GRP_0061	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	로고 미업로드	[생성하기] 비활성
TC_GRP_0062	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	대표이미지 미업로드	[생성하기] 비활성
TC_GRP_0063	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	5MB 초과 이미지 업로드	'이미지 용량은 5MB 이하만 등록할 수 있습니다.' 에러
TC_GRP_0064	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	미지원 형식(BMP 등) 업로드	'지원하지 않는 형식입니다. (JPG·PNG·WebP)' 에러
TC_GRP_0065	그룹 리스트	그룹 생성	입력 폼	그룹 생성	에러 메시지 확인	SNS에 잘못된 URL 입력	'올바른 URL 형식이 아닙니다.' 인라인 에러 + [생성하기] 비활성
TC_GRP_0066	그룹 리스트	그룹 생성	입력 폼	그룹 생성	상태확인	필수 항목(그룹명·소개 3언어+로고+배너) 모두 충족	[생성하기] 활성
TC_GRP_0067	그룹 리스트	그룹 생성	완료 모달	그룹 생성 완료 모달	모달확인	[생성하기] 클릭	생성 완료 모달, 제목 '그룹 생성' + '확인 버튼을 누르면 그룹이 생성됩니다 / 계속 진행하시겠습니까?'
TC_GRP_0068	그룹 리스트	그룹 생성	완료 모달	그룹 생성 완료 모달	버튼클릭	[다시 돌아가기]	모달 닫고 생성 화면 유지
TC_GRP_0069	그룹 리스트	그룹 생성	완료 모달	그룹 생성 완료 모달	데이터입력	[확인]	'그룹을 생성했습니다.' 토스트 + 그룹 리스트로 이동
TC_GRP_0070	그룹 리스트	그룹 생성	완료 모달	그룹 생성 완료 모달	상태확인	생성된 그룹 기본값	탐색 노출 '켬'으로 등록
TC_GRP_0071	그룹 리스트	그룹 생성	취소 모달	그룹 생성 취소 모달	모달확인	[취소하기] 클릭	생성 취소 모달, 제목 '그룹 생성 취소' + '작성중인 내용이 사라집니다 / 취소하시겠습니까?'
TC_GRP_0072	그룹 리스트	그룹 생성	취소 모달	그룹 생성 취소 모달	버튼클릭	[다시 돌아가기] / [확인]	[다시 돌아가기] 유지 / [확인] 폐기 후 그룹 리스트 이동
TC_GRP_0073	그룹 리스트	그룹 생성		그룹 생성	백오피스 액션	그룹 생성 활동 로그	'그룹 {그룹명}을(를) 생성했습니다.' 로그
TC_GRP_0074	그룹 리스트	그룹 상세	기본정보 탭	그룹 상세(기본정보)	모달확인	그룹 리스트 행 클릭 → 상세 진입	기본정보 탭 기본 활성으로 진입
TC_GRP_0075	그룹 리스트	그룹 상세	기본정보 탭	그룹 상세(기본정보)	UI확인	브레드크럼·표기·타이틀	'홈>아티스트>그룹리스트>{그룹명}' + '아티스트 그룹' + 타이틀
TC_GRP_0076	그룹 리스트	그룹 상세	기본정보 탭	그룹 상세(기본정보)	UI확인	[수정하기] 버튼 + 탭 메뉴	[수정하기] 노출 + 기본정보/멤버 탭
TC_GRP_0077	그룹 리스트	그룹 상세	관리정보	그룹 상세(기본정보)	UI확인	관리정보 카드	운영 상태 배지·로고 등록됨/미등록·팔로워 수·생성자/생성일시·수정자/수정일시
TC_GRP_0078	그룹 리스트	그룹 상세	관리정보	그룹 상세(기본정보)	버튼클릭	운영 상태 토글 클릭	즉시 활성↔비활성 변경 + 완료 토스트(확인 모달 없음)
TC_GRP_0079	그룹 리스트	그룹 상세	관리정보	그룹 상세(기본정보)	버튼클릭	탐색 노출 토글 클릭	즉시 켬↔끔 변경 + 토스트
TC_GRP_0080	그룹 리스트	그룹 상세	관리정보	그룹 상세(기본정보)	상태확인	탐색 노출 리스트↔상세 동기화	리스트에서 켬 → 상세 진입 시 켬 상태 일치
TC_GRP_0081	그룹 리스트	그룹 상세	본문	그룹 상세(기본정보)	UI확인	대표 이미지·SNS&Link	대표 이미지 표시 + SNS 5종(미입력 항목 비노출)
TC_GRP_0082	그룹 리스트	그룹 상세	본문	그룹 상세(기본정보)	UI확인	다국어 콘텐츠	그룹명·소개 한국어/영어/일본어 모두 표시
