TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_RFH_0001	응모권 변동내역	변동내역		응모권 변동내역	UI확인	사이드바 래플 > 변동 내역 → /rft/history	응모권 변동내역 진입
TC_RFH_0002	응모권 변동내역	변동내역	필터	응모권 변동내역	UI확인	필터 바	변동 유형(발급/사용 토글)·출처(정규 6종)·아티스트 컨텍스트·닉네임 검색·[초기화]
TC_RFH_0003	응모권 변동내역	변동내역	집계	응모권 변동내역	UI확인	집계 카드	필터 결과 건수 + 발급/사용 합계
TC_RFH_0004	응모권 변동내역	변동내역	테이블	응모권 변동내역	UI확인	테이블 컬럼	일시·회원·상태(발급/사용 배지)·변동(±N장)·잔액·출처(라벨)·아티스트 컨텍스트·참조(CS 식별값)
TC_RFH_0005	응모권 변동내역	변동내역	테이블	응모권 변동내역	상태확인	출처 라벨·거래 유형	퀘스트 보상·게임 보상·BIVE 혜택·덕력 랭킹 보상·GP 교환·래플 응모 (운영 정규 6종 출처 라벨이 화면 표시 한국어로 노출, 구 3종 폐기)
TC_RFH_0006	응모권 변동내역	변동내역	테이블	응모권 변동내역	버튼클릭	회원 링크	회원 상세 이동(삭제 회원은 비활성+라벨)
TC_RFH_0007	응모권 변동내역	변동내역	테이블	응모권 변동내역	상태확인	페이지네이션 / 0건	페이지당 20건 / '변동 내역이 없습니다.'
TC_RFH_0008	응모권 변동내역	앱 연동	증감	앱 응모권	앱 연동 확인	발급·사용 → 앱	퀘스트·게임·BIVE·랭킹·구매 발급(+)·래플 응모 사용(-)이 회원 응모권 잔액에 반영 (다른 시트 연동 검증 — 게임 보상 발급은 gz-games, 래플 응모 사용은 rfl-raffle 참조) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFH_0009	응모권 변동내역	앱 연동	발급	앱 응모권	앱 연동 확인	퀘스트 보상 발급 → 앱	퀘스트 보상 발급 시 회원 응모권 잔액 +N 즉시 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFH_0010	응모권 변동내역	앱 연동	발급	앱 응모권	앱 연동 확인	게임 보상(PM/ST) 발급 → 앱	PM·ST 보상 발급 시 회원 응모권 잔액 +N 즉시 반영 (게임 보상 발급은 gz-games 참조. 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFH_0011	응모권 변동내역	앱 연동	발급	앱 응모권	앱 연동 확인	BIVE 보유 혜택 발급 → 앱	BIVE 보유 혜택은 자정 배치로 발급 시 회원 응모권 잔액 +N 반영(즉시 아님) (시점 의존. 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFH_0012	응모권 변동내역	앱 연동	발급	앱 응모권	앱 연동 확인	덕력 랭킹 보상 발급 → 앱	덕력 랭킹 보상은 시즌말 배치로 발급 시 회원 응모권 잔액 +N 반영(즉시 아님) (시점 의존. 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFH_0013	응모권 변동내역	앱 연동	발급	앱 응모권	앱 연동 확인	GP 구매 발급 → 앱	GP 구매(교환) 시 회원 응모권 잔액 +N 즉시 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFH_0014	응모권 변동내역	앱 연동	사용	앱 응모권	앱 연동 확인	래플 응모 사용 → 앱	래플 응모 시 회원 응모권 잔액 -N 차감 반영(만료·환수 없음, 영구) (래플 응모 사용은 rfl-raffle 참조. 앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
