TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_SYA_0001	관리자 리스트	리스트		관리자 리스트	UI확인	사이드바 관리자 > 관리자 리스트 → /admins/list	관리자 리스트 진입(SUPER 전용), 타이틀 "관리자현황" (BO 실측 — QA "관리자 리스트")
TC_SYA_0002	관리자 리스트	리스트	권한	관리자 리스트	상태확인	비-SUPER 직접 URL 접근	'접근 권한이 없습니다.' 차단·리다이렉트(SYS 영역 SUPER 전용)
TC_SYA_0003	관리자 리스트	리스트	통계	관리자 리스트	UI확인	상태 통계 5카드	전체/Active/Pending/Locked/Inactive + 건수
TC_SYA_0004	관리자 리스트	리스트	검색·필터	관리자 리스트	데이터입력	필터·검색·[초기화]	상태 필터·권한 그룹 필터·관리자명(이메일 포함) 검색·초기화(AND 조합)
TC_SYA_0005	관리자 리스트	리스트	테이블	관리자 리스트	UI확인	테이블 컬럼	계정상태 배지(Active 초록/Pending 주황/Locked 적/Inactive 회색)·권한명·관리자명·이메일·등록일시·최근 로그인
TC_SYA_0006	관리자 리스트	리스트	테이블	관리자 리스트	버튼클릭	행 클릭	관리자 상세(/admins/{id})로 이동(Pending은 '초대 인증 대기' 안내)
TC_SYA_0007	관리자 리스트	리스트	테이블	관리자 리스트	상태확인	페이지네이션 / 0건 / 조회 실패	페이지당 10건 / '검색 결과가 없습니다.' / '관리자 목록 조회에 실패하였습니다.'+[재시도]
TC_SYA_0008	관리자 리스트	초대 모달	초대	관리자 초대	모달확인	[관리자 초대] 클릭	초대 모달 — 이름(25자)·이메일·권한 그룹 선택
TC_SYA_0009	관리자 리스트	초대 모달	초대	관리자 초대	에러 메시지 확인	이름·이메일 검증	이름 0자 또는 이메일 형식 오류 시 [초대하기] 비활성
TC_SYA_0010	관리자 리스트	초대 모달	초대	관리자 초대	데이터입력	입력 후 [초대하기]	초대 메일 발송(7일 유효)·Pending(초대 인증 대기) 상태 생성·활동 로그 기록
TC_SYA_0011	관리자 리스트	상세	헤더	관리자 상세	모달확인	행 클릭 → 상세	'관리자 상세({이름})'·계정상태 배지 + [비밀번호 재설정][수정하기]
TC_SYA_0012	관리자 리스트	상세	정보	관리자 상세	UI확인	정보 섹션	기본정보(관리자명·이메일·등록일시·최근 로그인)·계정상태/권한·계정 활성화 토글(Active↔Inactive 전환 전용. 잠금 처리는 SYA_0013의 잠금/비활성화 액션이 담당 — 토글과 별개)
TC_SYA_0013	관리자 리스트	상세	액션	관리자 상세	데이터입력	권한 그룹 변경	SUPER 전용, 사유 입력 필수 → 권한 그룹 변경·즉시 세션 갱신·활동 로그 기록
TC_SYA_0014	관리자 리스트	상세	액션	관리자 상세	데이터입력	만료 연장	SUPER 전용, 사유 입력 필수 → 만료일 연장·활동 로그 기록
TC_SYA_0015	관리자 리스트	상세	액션	관리자 상세	데이터입력	세션 종료	SUPER 전용, 사유 입력 필수 → 대상 관리자 세션 즉시 종료·활동 로그 기록
TC_SYA_0016	관리자 리스트	상세	액션	관리자 상세	데이터입력	잠금/비활성화	SUPER 전용, 사유 입력 필수 → 계정 잠금/비활성화·즉시 로그인 차단·활동 로그 기록
TC_SYA_0017	관리자 리스트	상세	활동 로그	관리자 상세	UI확인	활동 로그	대/중/소분류·로그 검색·IP 검색 필터 + 테이블(대분류·중분류·소분류·로그·IP·일시)·페이지 10건
TC_SYA_0018	관리자 리스트	상세	라이프사이클	관리자 상세	상태확인	상태 전환	Pending(초대 7일)·Active·Locked(90일 미접속 자동 잠금·SUPER 재승인 복구)·Inactive(로그인 차단). 7일 초대 만료·90일 자동 잠금은 [검증법] 만료/미접속 기준 시각을 임박하게 설정 후 전이 확인 (시점 의존 — 시각 단축 설정 또는 별도 환경 필요)
TC_SYA_0019	관리자 리스트	상세	자기 정보	관리자 상세	상태확인	비-SUPER 자기 정보	OPERATOR 등은 자기 행만 진입·닉네임/2FA/비밀번호 수정 가능(권한·만료는 SUPER만), 타인 행 차단
TC_SYA_0020	관리자 리스트	시스템 연동	접근 제어	BO 접근 제어	시스템 연동 확인	권한 변경 → BO	권한 그룹 변경·회수 시 해당 관리자 화면 접근 제어 즉시 갱신·세션 강제 종료
TC_SYA_0021	관리자 리스트	시스템 연동	활동 로그	BO 접근 제어	시스템 연동 확인	SYS 액션 → 로그	초대·권한 변경·회수·잠금·세션 종료 모두 활동 로그 기록(3년 보관·append-only)
