TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_FEED_0001	소식/일정	리스트		소식·일정 리스트	UI확인	사이드바 아티스트 > 소식/일정 클릭 → /artists/feed 진입	소식·일정 리스트 진입
TC_FEED_0002	소식/일정	리스트		소식·일정 리스트	UI확인	브레드크럼·타이틀·[작성하기] 버튼	'홈>아티스트>소식/일정' + 타이틀 '소식/일정' + [작성하기](쓰기 권한 시)
TC_FEED_0003	소식/일정	리스트	타입 탭	소식·일정 리스트	UI확인	타입 탭 3종	소식(기본)/일정/공지 탭 노출
TC_FEED_0004	소식/일정	리스트	타입 탭	소식·일정 리스트	버튼클릭	탭 전환(소식→일정)	해당 타입 필터 + 상태·검색어 초기화 + 그룹 필터 유지 + 1페이지 이동
TC_FEED_0005	소식/일정	리스트	통계 카드	소식·일정 리스트	UI확인	상태 통계 카드 3종	게시/임시저장/보관 + 건수
TC_FEED_0006	소식/일정	리스트	통계 카드	소식·일정 리스트	버튼클릭	상태 카드 클릭 → 재클릭	해당 상태 필터 → 재클릭 시 전체 해제(토글)
TC_FEED_0007	소식/일정	리스트	검색·필터	소식·일정 리스트	UI확인	상태 필터 드롭다운	전체/게시/임시저장/보관, 기본 전체
TC_FEED_0008	소식/일정	리스트	검색·필터	소식·일정 리스트	UI확인	그룹 필터 드롭다운	전체 + 연결 아티스트(그룹) 목록
TC_FEED_0009	소식/일정	리스트	검색·필터	소식·일정 리스트	데이터입력	제목 검색	한국어·영어·일본어 통합 부분 일치
TC_FEED_0010	소식/일정	리스트	검색·필터	소식·일정 리스트	버튼클릭	[초기화]	상태·그룹·검색어 리셋(탭 제외)
TC_FEED_0011	소식/일정	리스트	테이블	소식·일정 리스트	UI확인	테이블 컬럼	상태/타입/제목/그룹/공식/일시
TC_FEED_0012	소식/일정	리스트	테이블	소식·일정 리스트	UI확인	일시 컬럼 타입별 표기	소식·공지=게시일 / 일정=이벤트 일시(+장소)
TC_FEED_0013	소식/일정	리스트	테이블	소식·일정 리스트	UI확인	정렬	1차 게시일(일정은 이벤트 일시) 내림차순, 2차 최근 등록·수정 내림차순(고정)
TC_FEED_0014	소식/일정	리스트	테이블	소식·일정 리스트	버튼클릭	행 클릭	소식·일정 상세로 이동
TC_FEED_0015	소식/일정	리스트	테이블	소식·일정 리스트	UI확인	페이지네이션	페이지당 10건, 필터·검색 변경 시 1페이지·결과 적으면 마지막 페이지 보정
TC_FEED_0016	소식/일정	리스트	테이블	소식·일정 리스트	상태확인	초기 로딩/전체 0건/검색 0건	Skeleton / '등록된 콘텐츠가 없습니다.' / '검색 결과가 없습니다.'
TC_FEED_0017	소식/일정	리스트	테이블	소식·일정 리스트	에러 메시지 확인	목록 조회 실패	'목록 조회에 실패하였습니다.' + [재시도]
