TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_FAN_0001	팬덤레벨	리스트		팬덤레벨 리스트	UI확인	사이드바 아티스트 > 팬덤레벨 클릭 → /artists/fandom 진입	팬덤레벨 리스트 진입
TC_FAN_0002	팬덤레벨	리스트		팬덤레벨 리스트	UI확인	브레드크럼·타이틀·[생성] 버튼	'홈>아티스트>팬덤레벨' + 타이틀 '팬덤레벨' + [생성](쓰기 권한 시)
TC_FAN_0003	팬덤레벨	리스트	통계 카드	팬덤레벨 리스트	UI확인	상태 통계 카드 3종	준비/진행중/종료 + 건수
TC_FAN_0004	팬덤레벨	리스트	통계 카드	팬덤레벨 리스트	버튼클릭	상태 카드 클릭 → 재클릭	해당 상태 필터 → 재클릭 시 전체 해제(토글)
TC_FAN_0005	팬덤레벨	리스트	검색·필터	팬덤레벨 리스트	UI확인	상태 필터 드롭다운	전체/준비/진행중/종료, 기본 전체
TC_FAN_0006	팬덤레벨	리스트	검색·필터	팬덤레벨 리스트	UI확인	시즌(연도) 필터 드롭다운	전체 + 시즌 연도별
TC_FAN_0007	팬덤레벨	리스트	검색·필터	팬덤레벨 리스트	데이터입력	그룹명 검색 + [초기화]	한국어·영어 부분 일치, 초기화 시 리셋
TC_FAN_0008	팬덤레벨	리스트	테이블	팬덤레벨 리스트	UI확인	테이블 컬럼	상태/그룹/현재 시즌/시즌 기간/레벨 수/현재 레벨/누적 덕력/참여 팬 수/업데이트 일시/관리 (BO 실측 — QA "현재 팬덤 레벨"→"현재 레벨", 관리 컬럼 추가)
TC_FAN_0009	팬덤레벨	리스트	테이블	팬덤레벨 리스트	UI확인	현재 팬덤 레벨 표기	'Lv.N' 또는 'Lv.N MAX'(최고레벨) 또는 '-'(미설정)
TC_FAN_0010	팬덤레벨	리스트	테이블	팬덤레벨 리스트	UI확인	레벨 수 표기	5~10 또는 '-'(미설정)
TC_FAN_0011	팬덤레벨	리스트	테이블	팬덤레벨 리스트	UI확인	정렬	누적 덕력 내림차순(1차)·준비 시즌 하단·동률 시 업데이트 일시 내림차순(2차), 고정
TC_FAN_0012	팬덤레벨	리스트	테이블	팬덤레벨 리스트	버튼클릭	행 클릭	팬덤레벨 상세(레벨·곡선 탭)로 이동
TC_FAN_0013	팬덤레벨	리스트	테이블	팬덤레벨 리스트	UI확인	페이지네이션	페이지당 10건, 필터 변경 시 1페이지·결과 적으면 마지막 페이지 보정
TC_FAN_0014	팬덤레벨	리스트	테이블	팬덤레벨 리스트	상태확인	초기 로딩 / 전체 0건 / 검색 0건	Skeleton / '검색 결과가 없습니다.' (BO 실측 — 단일 메시지)
TC_FAN_0015	팬덤레벨	리스트	테이블	팬덤레벨 리스트	에러 메시지 확인	목록 조회 실패	'목록 조회에 실패하였습니다.' + [재시도]
TC_FAN_0016	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	모달확인	리스트에서 [생성] 클릭	생성 모달 진입, 타이틀 '팬덤레벨 생성' + 안내문
TC_FAN_0017	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	UI확인	아티스트 드롭다운	활성(Active) 그룹만 노출, 기본값 첫 그룹
TC_FAN_0018	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	UI확인	시즌 연도 드롭다운	올해·내년 2개 연도만(과거 미제공), 기본 올해
TC_FAN_0019	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	UI확인	시즌 기간 자동 안내	'시즌 기간은 {연도}.01.01 ~ {연도}.12.31로 자동 설정' (연도 변경 시 갱신)
TC_FAN_0020	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	UI확인	시즌명 자동 제안	'{아티스트} 팬덤 N기 (YYYY)' 자동 제안(수정 가능), N=기존 시즌 수+1
TC_FAN_0021	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	에러 메시지 확인	동일 아티스트·동일 연도 중복	'동일 아티스트의 {연도}년 시즌이 이미 존재합니다.' 인라인 + [생성] 비활성
TC_FAN_0022	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	데이터입력	아티스트·연도 선택 후 [생성]	준비 상태로 생성(레벨 빈 곡선) + '{시즌명} 팬덤레벨을 생성했습니다' 토스트 + 모달 닫힘
TC_FAN_0023	팬덤레벨	시즌 생성	생성 모달	팬덤레벨 생성	백오피스 액션	생성 활동 로그	'{시즌명} 팬덤레벨을 생성했습니다 (그룹: {그룹명})' 로그
TC_FAN_0024	팬덤레벨	시즌 생성	취소 모달	생성 취소 확인	버튼클릭	입력값 있는 상태에서 [취소]·[X]·외부 클릭	취소 확인 모달 → [다시 돌아가기] 입력 유지 / [확인] 폐기·모달 닫힘
TC_FAN_0025	팬덤레벨	시즌 생성	취소 모달	생성 취소 확인	버튼클릭	입력값 없는 상태에서 [X]·외부 클릭	즉시 모달 닫힘(확인 없음)
TC_FAN_0026	팬덤레벨	상세	헤더	팬덤레벨 상세	UI확인	리스트 행 클릭 → 상세 진입	브레드크럼·그룹명·시즌명·상태 배지·현재 레벨 배지, 레벨·곡선 탭 기본 활성
TC_FAN_0027	팬덤레벨	상세	헤더	팬덤레벨 상세	UI확인	상태별 라이프사이클 버튼	준비=[삭제]·[게시] / 진행중=[강제 종료]·[수정] / 종료=[수정] 비활성(쓰기 권한 시) (BO 실측 — QA '종료=버튼 없음'이나 실제는 수정 버튼 비활성 존재)
TC_FAN_0028	팬덤레벨	상세	탭	팬덤레벨 상세	UI확인	탭 메뉴 3종	레벨·곡선 / 보상 / 현황 탭
TC_FAN_0029	팬덤레벨	상세	탭	팬덤레벨 상세	상태확인	편집 중 탭 전환	미저장 변경 시 확인 모달, 변경 없으면 즉시 전환
TC_FAN_0030	팬덤레벨	상세	헤더	팬덤레벨 상세	상태확인	Loading / 미존재 URL 접근	Skeleton / '존재하지 않는 아티스트입니다.' 후 리스트 리다이렉트
TC_FAN_0031	팬덤레벨	레벨·곡선 탭	조회	레벨·곡선 탭	UI확인	시즌 정보 카드	시즌명·기간·현재 팬덤 레벨·누적 덕력·참여 팬 수·최고레벨 도달(도달 MAX/미도달)
TC_FAN_0032	팬덤레벨	레벨·곡선 탭	조회	레벨·곡선 탭	UI확인	곡선 테이블 컬럼	레벨/레벨업 목표 덕력/권장값/달성 여부/달성 일시 (BO 실측 — QA "레벨업 여부/일시"→"달성 여부/일시")
TC_FAN_0033	팬덤레벨	레벨·곡선 탭	조회	레벨·곡선 탭	UI확인	목표 덕력 표기	단독 목표값(누계 아님), 천 단위 콤마
TC_FAN_0034	팬덤레벨	레벨·곡선 탭	조회	레벨·곡선 탭	상태확인	곡선 미설정(준비)	'레벨 곡선을 설정해주세요. (게시하려면 5개 이상)' 안내
TC_FAN_0035	팬덤레벨	레벨·곡선 탭	조회	레벨·곡선 탭	상태확인	[수정] 버튼 노출/잠금	쓰기 권한 시 노출 / MAX 도달·종료 시 비활성 + 사유 안내
