TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_GZP_0001	GP 변동 내역	변동 내역		GP 변동 내역	UI확인	사이드바 게임존 > GP 변동 내역 → /gamezone/gp-history	GP 변동 내역 진입
TC_GZP_0002	GP 변동 내역	변동 내역	필터	GP 변동 내역	데이터입력	조회기간·변동 유형·닉네임 + [검색]	변동 유형(전체/참여/부스팅/환급/보상/환불/GP 충전/GP 출금 — [CEB-BO-000] 기준: 환급=PM 참여GP 반환(+), 환불=게임 취소 반환(+))·닉네임 부분 일치
TC_GZP_0003	GP 변동 내역	변동 내역	테이블	GP 변동 내역	UI확인	테이블 컬럼	일시·닉네임·유형 배지·게임유형 배지(PM/ST/-)·GP 변동(±색상)·변동 후 잔액·비고
TC_GZP_0004	GP 변동 내역	변동 내역	테이블	GP 변동 내역	UI확인	GP 변동 표기	양수 '+N GP'(파란)·음수 '-N GP'(빨간), 게임외(충전·출금)는 게임유형 '-'
TC_GZP_0005	GP 변동 내역	변동 내역	테이블	GP 변동 내역	버튼클릭	행 클릭 / 닉네임	변동 상세 모달 / 회원 상세 이동
TC_GZP_0006	GP 변동 내역	변동 내역	상세 모달	변동 상세	UI확인	변동 상세	변동 ID·일시·닉네임·지갑주소·변동 유형·게임유형·GP 변동량·변동 후 잔액·비고
TC_GZP_0007	GP 변동 내역	변동 내역	테이블	GP 변동 내역	상태확인	0건 / Loading	'GP 변동 내역이 없습니다.' / Skeleton
TC_GZP_0008	GP 변동 내역	앱 연동	변동	앱 GP 변동	앱 연동 확인	게임 참여·보상·교환 → 변동 기록	참여(-)·부스팅(-)·환급(+)·보상(+)·환불(+)·GP 충전(+)·GP 출금(-)이 회원 GP 잔액·변동 내역에 반영([CEB-BO-000] 기준 환급/환불 구분) (다른 시트 연동 검증 — 게임 참여·보상 발생은 gz-games 참조, 충전·출금 발생은 gz-exchange 참조) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0009	GP 변동 내역	앱 연동	참여	앱 GP 변동	앱 연동 확인	(사전조건) 앱에서 게임 참여 발생(PM/ST) — 테스트 BO 데이터 생성. 참여 발생 → 앱	유형 '참여' 기록·GP 차감(- 빨간색)·변동 후 잔액 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0010	GP 변동 내역	앱 연동	부스팅	앱 GP 변동	앱 연동 확인	(사전조건) 앱에서 PM 부스팅 사용 발생 — 테스트 BO 데이터 생성. 부스팅 발생 → 앱	유형 '부스팅' 기록·GP 차감(- 빨간색)·변동 후 잔액 반영(PM 전용) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0011	GP 변동 내역	앱 연동	환급	앱 GP 변동	앱 연동 확인	(사전조건) PM 결과 발표 후 참여 GP 환급 발생 — 테스트 BO 데이터 생성. 환급 발생 → 앱	유형 '환급' 기록·참여 GP 반환(+ 파란색)·변동 후 잔액 반영(부스팅 GP 제외) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0012	GP 변동 내역	앱 연동	보상	앱 GP 변동	앱 연동 확인	(사전조건) 보상 지급(PM)·자동 지급(ST) 발생 — 테스트 BO 데이터 생성. 보상 발생 → 앱	유형 '보상' 기록·GP 적립(+ 파란색)·변동 후 잔액 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0013	GP 변동 내역	앱 연동	환불	앱 GP 변동	앱 연동 확인	(사전조건) 게임 강제 종료로 환불 발생(PM/ST) — 테스트 BO 데이터 생성. 환불 발생 → 앱	유형 '환불' 기록·GP 반환(+ 파란색)·변동 후 잔액 반영(PM=부스팅+참여GP/ST=참여GP) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0014	GP 변동 내역	앱 연동	충전	앱 GP 변동	앱 연동 확인	(사전조건) 앱에서 CELB→GP 충전 발생 — 테스트 BO 데이터 생성. GP 충전 발생 → 앱	유형 'GP 충전' 기록·GP 증가(+ 파란색)·게임유형 '-'·변동 후 잔액 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZP_0015	GP 변동 내역	앱 연동	출금	앱 GP 변동	앱 연동 확인	(사전조건) 앱에서 GP→CELB 출금 발생 — 테스트 BO 데이터 생성. GP 출금 발생 → 앱	유형 'GP 출금' 기록·GP 차감(- 빨간색)·게임유형 '-'·변동 후 잔액 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
