TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_GZR_0001	랭킹	랭킹 조회		랭킹 조회	UI확인	사이드바 게임존 > 랭킹 → /gamezone/ranking	랭킹 조회 진입 + [랭킹 설정] 버튼
TC_GZR_0002	랭킹	랭킹 조회		랭킹 조회	UI확인	통합 안내	'PM과 ST의 누적 GP를 통합하여 랭킹 산출' 안내
TC_GZR_0003	랭킹	랭킹 조회	TOP 10	랭킹 조회	UI확인	TOP 10 카드	(사전조건) 랭킹 산출용 누적 게임 참여 데이터(회원 10명 이상 참여 이력) — 테스트 BO 데이터 생성. 5×2 그리드 카드(순위 배지 금/은/동·누적 GP·닉네임·참여 횟수·승률)
TC_GZR_0004	랭킹	랭킹 조회	테이블	랭킹 조회	UI확인	테이블 컬럼	(사전조건) 랭킹 산출용 누적 게임 참여 데이터 — 테스트 BO 데이터 생성. 순위·닉네임·누적 GP·참여 횟수·승률(소수 1자리)·최근 참여일
TC_GZR_0005	랭킹	랭킹 조회	테이블	랭킹 조회	상태확인	정렬·페이지네이션	누적 GP 내림 기본·지정 컬럼 정렬·페이지당 50건
TC_GZR_0006	랭킹	랭킹 조회	테이블	랭킹 조회	데이터입력	닉네임 검색	부분 일치 검색(TOP 10도 검색 결과 상위로 갱신)
TC_GZR_0007	랭킹	랭킹 조회	테이블	랭킹 조회	버튼클릭	TOP10 카드·행 클릭	회원 상세(게임존 탭)로 이동
TC_GZR_0008	랭킹	랭킹 조회	테이블	랭킹 조회	상태확인	TOP 10 0건 / 최근 참여 없음	'TOP 10 데이터가 없습니다.' / '-' 표시
TC_GZR_0009	랭킹	랭킹 설정		랭킹 설정	모달확인	[랭킹 설정] 클릭 → /ranking/settings	랭킹 설정 진입
TC_GZR_0010	랭킹	랭킹 설정	설정	랭킹 설정	UI확인	설정 4종	TOP 10 공개 토글(기본 OFF)·랭킹 기준(누적 GP/승률/참여 횟수)·업데이트 주기(실시간/1시간/1일)·최소 참여 횟수(1~100)
TC_GZR_0011	랭킹	랭킹 설정	설정	랭킹 설정	데이터입력	TOP 10 공개 ON/OFF	(검증 대상: BO 토글 상태·저장값) TOP 10 공개 토글 ON/OFF 전환 시 BO 설정값 반영(BO 랭킹 조회는 토글 무관 항상 조회 가능) — 앱 노출 여부 자체는 GZR_0014에서 검증
TC_GZR_0012	랭킹	랭킹 설정	저장	랭킹 설정	데이터입력	[저장]	'랭킹 설정이 저장되었습니다.' 토스트 + 활동 로그
TC_GZR_0013	랭킹	랭킹 설정	초기화	랭킹 설정	버튼클릭	[초기화]	확인 모달 → 기본값 복원(별도 [저장] 필요)
TC_GZR_0014	랭킹	앱 연동	노출	앱 랭킹	앱 연동 확인	TOP 10 공개·기준·주기 → 앱	(검증 대상: 앱 반영 결과) 업데이트 주기를 실시간으로 설정해 두고 설정(TOP 10 공개·기준·주기) 저장 후 앱 랭킹 노출 변화 확인. 1시간/1일 주기는 시점 의존 — 시각 단축 설정 또는 별도 환경 필요 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZR_0015	랭킹	앱 연동	공개 토글	앱 랭킹	앱 연동 확인	(사전조건) 랭킹 산출용 누적 데이터 + 업데이트 주기 실시간 설정 — 테스트 BO 데이터 생성. TOP 10 공개 ON/OFF 저장 → 앱	TOP 10 공개 ON=앱 랭킹 노출 / OFF=앱 미노출(BO 조회는 항상 유지) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZR_0016	랭킹	앱 연동	기준·주기	앱 랭킹	앱 연동 확인	(사전조건) 랭킹 산출용 누적 데이터 준비 — 테스트 BO 데이터 생성. 랭킹 기준·갱신 주기 변경 저장 → 앱	기준(누적 GP/승률/참여 횟수)·갱신 주기 변경은 다음 갱신 사이클부터 앱 랭킹에 반영 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
