TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_RFP_0001	응모권 관리	정책		응모권 관리	UI확인	사이드바 래플 > 응모권 관리 → /rft/policy	응모권 관리(정책) 진입 + '1일 기준 KST 자정' 안내
TC_RFP_0002	응모권 관리	정책	환율	응모권 관리	데이터입력	GP → 응모권 환율	숫자(양의 정수, 최소 1), 'N GP → 응모권 1장' + 마지막 변경 정보
TC_RFP_0003	응모권 관리	정책	교환 한도	응모권 관리	데이터입력	회원당 1일 교환 한도	한도 적용(최소·최대 수량) / 무제한 라디오, 최소 ≤ 최대 검증
TC_RFP_0004	응모권 관리	정책	앱 구매	응모권 관리	데이터입력	앱내 응모권 구매 토글	정상 운영(ON) / 점검중(OFF)+점검 사유(200자), OFF 시 앱 [구매하기] 비활성
TC_RFP_0005	응모권 관리	정책	게임 지급	응모권 관리	데이터입력	PM·ST 지급 기본 정책	PM/ST 생존자/ST 탈락자 기본 지급 토글·기본 수량(0 이상), 토글 ON+0매 시 확인 모달('0매=OFF와 동일')
TC_RFP_0006	응모권 관리	정책	검증·저장	응모권 관리	에러 메시지 확인	환율 0·최소>최대·변경 없음	에러+저장 차단 / 변경 없으면 [저장하기] 비활성
TC_RFP_0007	응모권 관리	정책	검증·저장	응모권 관리	데이터입력	변경 후 [저장하기]	변경 요약 확인 모달 → 저장 + 토스트 + 항목별 활동 로그 기록(관리자 활동 로그 화면에서 변경 내역 확인 가능)
TC_RFP_0008	응모권 관리	앱 연동	반영	앱 응모권 정책	앱 연동 확인	환율·한도·구매 토글 → 앱	저장 시 앱 교환 화면 즉시 반영(한도 자정 리셋·구매 OFF 시 점검중) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFP_0009	응모권 관리	앱 연동	반영	앱 응모권 정책	앱 연동 확인	앱내 구매 토글 OFF(점검중) 저장 → 앱	저장 시 앱 교환 화면 [구매하기] 버튼 '점검중'으로 즉시 반영(캐시 TTL 60초) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_RFP_0010	응모권 관리	앱 연동	반영	앱 응모권 정책	앱 연동 확인	환율·1일 교환 한도 변경 저장 → 앱	변경된 환율(N GP→1장)·1일 한도가 앱 교환 화면에 즉시 반영(캐시 TTL 60초), 한도는 KST 자정 리셋 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
