TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_DUK_0001	덕력관리	메인		덕력관리	UI확인	사이드바 아티스트 > 덕력관리 클릭 → /artists/duk 진입	덕력관리 진입, 브레드크럼·타이틀 '덕력관리'
TC_DUK_0002	덕력관리	메인		덕력관리	UI확인	탭 메뉴 4종	랭킹 시즌 설정 / 덕력 랭킹 / 덕력 내역 / 덕력 지급 정책, 첫 진입 시 '랭킹 시즌 설정' 활성
TC_DUK_0003	덕력관리	메인		덕력관리	상태확인	탭 전환 시 URL 쿼리·새로고침·잘못된 쿼리	?tab=season/ranking/history/policy 반영, 새로고침 시 동일 탭 복원, 잘못된 쿼리는 기본 탭 복귀
TC_DUK_0004	덕력관리	랭킹 시즌 설정		랭킹 시즌 설정	UI확인	안내 문구·[신규 시즌] 버튼	'그룹별 1개월 단위 시즌, 같은 그룹 진행중 1개' 안내 + [+ 신규 시즌](쓰기 권한 시)
TC_DUK_0005	덕력관리	랭킹 시즌 설정	검색·필터	랭킹 시즌 설정	UI확인	그룹 필터·결과 건수	전체 + 활성 그룹 전체(현재 운영 목록과 일치), 기본 전체 + 필터 결과 N건
TC_DUK_0006	덕력관리	랭킹 시즌 설정	테이블	랭킹 시즌 설정	UI확인	테이블 컬럼	그룹/시즌명(한국어, 강제종료 배지)/기간/상태(예정·진행중·종료 배지)
TC_DUK_0007	덕력관리	랭킹 시즌 설정	테이블	랭킹 시즌 설정	UI확인	정렬	시작일시 내림차순(1차)·동일 시 그룹명 가나다순(2차)
TC_DUK_0008	덕력관리	랭킹 시즌 설정	테이블	랭킹 시즌 설정	버튼클릭	시즌 행 클릭	시즌 상세(/artists/duk/seasons/{id})로 이동
TC_DUK_0009	덕력관리	랭킹 시즌 설정	테이블	랭킹 시즌 설정	UI확인	페이지네이션	페이지당 20건
TC_DUK_0010	덕력관리	랭킹 시즌 설정	테이블	랭킹 시즌 설정	상태확인	Loading / 빈 목록 / 조회 실패	Skeleton / '등록된 시즌이 없습니다.' / '시즌 목록을 불러오지 못했습니다.'+[다시 시도]
TC_DUK_0011	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	모달확인	[+ 신규 시즌] 클릭	생성 모달 진입, 제목 '신규 시즌 등록'
TC_DUK_0012	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	UI확인	그룹·연도·월 필드	그룹 드롭다운(활성) + 연도(현재~+2년)·월(1~12) 드롭다운, 현재 연·월 기본
TC_DUK_0013	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	UI확인	시즌명 다국어·자동 제안	한국어/영어/일본어 탭(각 50자), 연·월 선택 시 3언어 자동 제안(수정 가능)
TC_DUK_0014	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	UI확인	시즌 기간 자동 안내	'{연}.{월}.01 00:00 ~ 말일 23:59 (자동)' 표시(운영자 입력 불가)
TC_DUK_0015	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	에러 메시지 확인	시즌명 일부 언어 미입력	미입력 언어 탭 빨간 점 + [저장] 차단 '모든 언어의 시즌명을 입력하세요.'
TC_DUK_0016	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	에러 메시지 확인	지난 월 선택	'지난 월은 시즌을 생성할 수 없습니다. 현재 또는 이후 월을 선택하세요.'
TC_DUK_0017	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	에러 메시지 확인	같은 그룹·같은 월 중복(진행중/예정/종료)	상태별 안내: '이미 진행중인/예정된/종료된 시즌이 있습니다' ([저장] 차단)
TC_DUK_0018	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	데이터입력	미래 월 예정 시즌 생성(월 안 겹침)	생성 성공(상태 예정)
TC_DUK_0019	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	데이터입력	정상 입력 후 [저장]	상태 자동 판정(현재 월=진행중/미래=예정) + '시즌이 저장되었습니다' 토스트 + 목록 갱신
TC_DUK_0020	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	버튼클릭	[취소]	입력값 폐기 + 모달 닫힘
TC_DUK_0021	덕력관리	시즌 생성	생성 모달	시즌 생성·수정 모달	백오피스 액션	시즌 생성 활동 로그	'덕력 시즌 {시즌명}을(를) 생성했습니다 (기간: ...)' 로그
TC_DUK_0022	덕력관리	덕력 랭킹		덕력 랭킹	모달확인	[덕력 랭킹] 탭 클릭	랭킹 탭 전환
TC_DUK_0023	덕력관리	덕력 랭킹	검색·필터	덕력 랭킹	UI확인	필터 4종	그룹(필수)·연도(활동 연도 최신순)·시즌(선택 연도, 진행중 기본)·회원 검색
TC_DUK_0024	덕력관리	덕력 랭킹	검색·필터	덕력 랭킹	상태확인	(사전조건) 강제 종료된 시즌 + 덕력 획득 회원 데이터 존재 — 강제 종료 시즌 포함 확인	강제 종료(미지급) 시즌도 시즌 드롭다운에 포함(스냅샷 조회)
TC_DUK_0025	덕력관리	덕력 랭킹	검색·필터	덕력 랭킹	UI확인	(사전조건) 진행중·현재 기여 데이터 보유 시즌 선택 — 컨텍스트 카드 확인	'그룹 - 시즌명(상태)' + 활동 회원 N명 · 획득 누적 N DUK
TC_DUK_0026	덕력관리	덕력 랭킹	테이블	덕력 랭킹	UI확인	(사전조건) 회원 3명 이상 덕력 획득 데이터 보유 시즌 선택 — 테이블 컬럼·순위 배지 확인	순위(1·2·3위 금·은·동, 4위+ 회색)/회원/획득 덕력(천단위)/최근 변동일
TC_DUK_0027	덕력관리	덕력 랭킹	테이블	덕력 랭킹	상태확인	(사전조건) 누적 덕력 동일한 두 회원 + 도달 시각 차이 데이터 준비 — 두 회원의 랭킹 순위 비교	누적 동일 시 먼저 도달(초 단위 비교)한 회원이 상위에 표시됨
TC_DUK_0028	덕력관리	덕력 랭킹	테이블	덕력 랭킹	버튼클릭	회원 닉네임 클릭	새 창으로 회원 상세 진입
TC_DUK_0029	덕력관리	덕력 랭킹	테이블	덕력 랭킹	상태확인	Empty / Loading / Error	'해당 시즌에 획득 내역이 있는 회원이 없습니다.' / Skeleton / '랭킹 정보를 불러오지 못했습니다.'+[다시 시도]
TC_DUK_0030	덕력관리	덕력 내역		덕력 내역	모달확인	[덕력 내역] 탭 클릭	내역 탭 전환, [획득 내역](기본)/[사용 내역] 서브탭
TC_DUK_0031	덕력관리	덕력 내역	검색·필터	덕력 내역	UI확인	필터	그룹(전체 기본)·기간(기본 최근 30일)·회원 검색·[초기화]
TC_DUK_0032	덕력관리	덕력 내역	검색·필터	덕력 내역	에러 메시지 확인	기간 시작 > 종료	'기간 시작은 종료보다 이전이어야 합니다.' 인라인 + 0건
TC_DUK_0033	덕력관리	덕력 내역	검색·필터	덕력 내역	상태확인	서브탭 필터 독립	획득/사용 탭 필터·페이지 상태 각각 보존, [초기화]는 현재 탭만
TC_DUK_0034	덕력관리	덕력 내역	요약	덕력 내역	UI확인	(사전조건) 조회 기간 내 획득·사용 내역 데이터 존재 — 요약 카드 확인	결과 건수 + 획득(+, 초록색)/사용(-, 분홍색) 합계
TC_DUK_0035	덕력관리	덕력 내역	테이블	덕력 내역	UI확인	테이블 컬럼(획득/사용 차이)	획득=일시/회원/그룹/출처/변동/잔액/시즌(7) / 사용=시즌 컬럼 제외(6)
TC_DUK_0036	덕력관리	덕력 내역	테이블	덕력 내역	UI확인	정렬·페이지네이션	일시 내림차순, 페이지당 20건
TC_DUK_0037	덕력관리	덕력 내역	테이블	덕력 내역	상태확인	Empty	'조건에 일치하는 내역이 없습니다.'
TC_DUK_0038	덕력관리	시즌 상세	헤더	시즌 상세	모달확인	시즌 행 클릭 → 상세 진입	'{그룹명} - {시즌명}' 타이틀 + 브레드크럼
TC_DUK_0039	덕력관리	시즌 상세	헤더	시즌 상세	UI확인	시즌 정보 카드	그룹/시즌명/기간/상태 배지(+강제종료 배지)/정산 여부(정산 완료·미정산·강제 종료 미지급)
TC_DUK_0040	덕력관리	시즌 상세	헤더	시즌 상세	UI확인	상태별 액션 버튼	[수정](예정·진행중)·[강제 종료](진행중)·[목록으로](항상)
TC_DUK_0041	덕력관리	시즌 상세	헤더	시즌 상세	UI확인	탭 메뉴	보상 설정(기본)/보상 지급 내역
TC_DUK_0042	덕력관리	시즌 수정	수정 모달	시즌 생성·수정 모달	모달확인	상세에서 [수정] 클릭	수정 모달 진입, 제목 '시즌 정보 수정', 기존값 채워짐
TC_DUK_0043	덕력관리	시즌 수정	수정 모달	시즌 생성·수정 모달	상태확인	기간(연도·월) 수정 제약	예정=수정 가능 / 진행중·종료=회색 수정 불가 + 안내
TC_DUK_0044	덕력관리	시즌 수정	수정 모달	시즌 생성·수정 모달	상태확인	그룹 수정 불가	모든 모드에서 그룹 필드 회색·수정 불가
TC_DUK_0045	덕력관리	시즌 수정	수정 모달	시즌 생성·수정 모달	데이터입력	시즌명 수정(모든 상태)	종료 시즌도 시즌명 변경 가능 + '시즌이 저장되었습니다' 토스트
TC_DUK_0046	덕력관리	시즌 수정	수정 모달	시즌 생성·수정 모달	백오피스 액션	시즌 수정 활동 로그	'덕력 시즌 {시즌명}의 정보를 수정했습니다' 로그
TC_DUK_0047	덕력관리	강제 종료	종료 모달	강제 종료 모달	모달확인	진행중 시즌에서 [강제 종료] 클릭	모달 진입, 제목 '덕력 시즌을 강제 종료할까요?' (BO 실측 — QA '시즌을 강제 종료하시겠습니까?'와 표기 차이)
TC_DUK_0048	덕력관리	강제 종료	종료 모달	강제 종료 모달	UI확인	정책 안내 3행 + 경고	① 보상 미지급(취소) ② 랭킹 스냅샷 보존·조회 ③ 신규 적립·소비 다음 시즌 귀속 + '⚠ 되돌릴 수 없습니다'
TC_DUK_0049	덕력관리	강제 종료	종료 모달	강제 종료 모달	데이터입력	(사전조건) 진행중 시즌 — [강제 종료] 실행	상태 진행중→종료 + 강제 종료(미지급) 표기 + '시즌을 강제 종료했습니다' 토스트
TC_DUK_0050	덕력관리	강제 종료	종료 모달	강제 종료 모달	상태확인	(사전조건) 재사용 가능한 진행중 시즌 — 강제 종료 후 정산·랭킹 확인	정산 카드 '강제 종료(미지급)' + 지급 내역 0건, 종료 시점 랭킹 스냅샷 조회 가능
TC_DUK_0051	덕력관리	강제 종료	종료 모달	강제 종료 모달	버튼클릭	[취소]	모달 닫기 + 진행중 상태 유지
TC_DUK_0052	덕력관리	강제 종료	종료 모달	강제 종료 모달	백오피스 액션	강제 종료 활동 로그	'덕력 시즌 {시즌명}을(를) 강제 종료했습니다 (보상 미지급)' 로그
TC_DUK_0053	덕력관리	보상 설정	조회/잠금	보상 설정 탭	상태확인	상태별 편집/잠금	예정·진행중(미정산)=편집('수정 가능' 배지) / 정산 완료·종료=조회(잠금+안내)
TC_DUK_0054	덕력관리	보상 설정	구간	보상 설정 탭	버튼클릭	[+ 구간 추가]	빈 구간(상품 0개) 추가
TC_DUK_0055	덕력관리	보상 설정	구간	보상 설정 탭	UI확인	대상 기준·값	등수/등수범위(N-M)/퍼센트(1~100) 선택 + 값 입력
TC_DUK_0056	덕력관리	보상 설정	구간	보상 설정 탭	UI확인	대상명·아이콘	대상명 다국어(한/영/일 각 30자) + 대상 아이콘 업로드(1:1, 5MB)
TC_DUK_0057	덕력관리	보상 설정	구간	보상 설정 탭	UI확인	상품 5종	배송 수령/현장 수령/BIVE NFT/응모권/덕력, 구간당 최소 1개
