TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_EPI_0001	에피소드 그룹	그룹 리스트		에피소드 그룹 리스트	UI확인	사이드바 에피소드 > 그룹 리스트 클릭 → /sq/groups/list 진입	에피소드 그룹 리스트 진입
TC_EPI_0002	에피소드 그룹	그룹 리스트		에피소드 그룹 리스트	UI확인	헤더·브레드크럼·[새 그룹 생성]	'홈>에피소드>그룹 리스트' + 타이틀 + [새 그룹 생성] 버튼
TC_EPI_0003	에피소드 그룹	그룹 리스트	통계	에피소드 그룹 리스트	UI확인	상태 통계 카드	전체/임시저장/진행중/종료 + 건수(상태별 톤)
TC_EPI_0004	에피소드 그룹	그룹 리스트	검색·필터	에피소드 그룹 리스트	UI확인	상태·아티스트 필터·키워드·[초기화]	상태(전체/임시저장/진행중/종료)·아티스트(전체+그룹)·타이틀 검색·초기화
TC_EPI_0005	에피소드 그룹	그룹 리스트	검색·필터	에피소드 그룹 리스트	데이터입력	상태+아티스트 조합 필터	AND 조합 결과, 필터 변경 시 1페이지 리셋
TC_EPI_0006	에피소드 그룹	그룹 리스트	테이블	에피소드 그룹 리스트	UI확인	테이블 컬럼	상태/아티스트/타이틀/시작일/종료일/최근 수정자/관리 (BO 실측 — QA "에피소드 수" 컬럼은 BO 리스트에 미표시, 마지막 관리 컬럼 존재)
TC_EPI_0007	에피소드 그룹	그룹 리스트	테이블	에피소드 그룹 리스트	버튼클릭	행 클릭	그룹 상세(/sq/groups/{gid})로 이동
TC_EPI_0008	에피소드 그룹	그룹 리스트	테이블	에피소드 그룹 리스트	UI확인	페이지네이션	페이지당 20건
TC_EPI_0009	에피소드 그룹	그룹 리스트	테이블	에피소드 그룹 리스트	상태확인	Loading / 검색 0건 / 조회 실패	Skeleton / '등록된 에피소드 그룹이 없습니다.'(검색 0건 메시지) / 에러+[재시도]
TC_EPI_0010	에피소드 그룹	그룹 생성		에피소드 그룹 생성	모달확인	[새 그룹 생성] 클릭	그룹 생성(/sq/groups/create) 진입
TC_EPI_0011	에피소드 그룹	그룹 생성	입력 폼	에피소드 그룹 생성	UI확인	입력 필드	아티스트(필수)·상태(임시저장 기본/진행중/종료)·타이틀(80자)·시작/종료일자
TC_EPI_0012	에피소드 그룹	그룹 생성	입력 폼	에피소드 그룹 생성	UI확인	정책 안내 박스	'진행중 상태는 아티스트당 1개만 허용' 안내
TC_EPI_0013	에피소드 그룹	그룹 생성	검증	에피소드 그룹 생성	에러 메시지 확인	필수 미입력	[저장] 비활성
TC_EPI_0014	에피소드 그룹	그룹 생성	검증	에피소드 그룹 생성	에러 메시지 확인	진행중 선택 + 같은 아티스트 진행중 그룹 존재	(사전조건) 동일 아티스트에 진행중 그룹 1건 존재. 경고 박스 '이미 진행 중인 그룹이 있습니다' + [저장] 비활성
TC_EPI_0015	에피소드 그룹	그룹 생성	검증	에피소드 그룹 생성	에러 메시지 확인	시작일 ≥ 종료일	'종료일자는 시작일자 이후여야 합니다.' 인라인 + 비활성
TC_EPI_0016	에피소드 그룹	그룹 생성	검증	에피소드 그룹 생성	데이터입력	타이틀 80자 초과	80자까지만 입력
TC_EPI_0017	에피소드 그룹	그룹 생성	저장	에피소드 그룹 생성	데이터입력	필수 충족 후 [저장]	그룹 상세로 이동 + '그룹이 생성되었습니다.' 토스트 + 활동 로그
TC_EPI_0018	에피소드 그룹	그룹 생성	저장	에피소드 그룹 생성	버튼클릭	[취소](입력값 있음)	'변경사항을 저장하지 않으시겠습니까?' 확인 모달
TC_EPI_0019	에피소드 그룹	그룹 상세	헤더	에피소드 그룹 상세	모달확인	리스트 행 클릭 → 상세 진입	그룹 타이틀·상태 배지·기간 + 상태별 액션
