TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_MEL_0001	감정 이모지 연결	연결 관리		감정 이모지 연결	UI확인	사이드바 기억저장소 > 감정 이모지 연결 → /memory/emoji	감정 이모지 연결 관리 진입
TC_MEL_0002	감정 이모지 연결	연결 관리	상단	감정 이모지 연결	UI확인	아티스트 선택·요약 통계	활성 아티스트 드롭다운(기본 첫 그룹) + '연결 N/40 · 사용 M/6'
TC_MEL_0003	감정 이모지 연결	연결 관리	상단	감정 이모지 연결	데이터입력	아티스트 전환	선택 변경 시 해당 아티스트 연결 세트로 표 교체(아티스트별 독립 draft)
TC_MEL_0004	감정 이모지 연결	연결 관리	상단	감정 이모지 연결	UI확인	변경사항 적용 바	미적용 변경 N건·마지막 적용 일시 + [변경사항 적용]·[되돌리기](변경 없으면 비활성)
TC_MEL_0005	감정 이모지 연결	연결 관리	세트 표	감정 이모지 연결	UI확인	테이블 컬럼	순서(↑↓)·이미지·라벨(KO/EN/JA 읽기전용)·사용여부 토글·관리([연결 해제])
TC_MEL_0006	감정 이모지 연결	연결 관리	세트 표	감정 이모지 연결	버튼클릭	순서 ↑↓ 변경	인접 행 스왑·순서 즉시 갱신·미적용 변경 +1, 첫/마지막 행 해당 방향 비활성
TC_MEL_0007	감정 이모지 연결	연결 관리	세트 표	감정 이모지 연결	데이터입력	사용여부 토글	사용↔미사용 전환·미적용 변경 +1
TC_MEL_0008	감정 이모지 연결	연결 관리	세트 표	감정 이모지 연결	에러 메시지 확인	사용 6종 초과 전환	(사전조건) 사용 6종 도달. 7번째 미사용→사용 전환 시 '사용은 최대 6개까지 가능합니다…' 토스트·전환 차단
TC_MEL_0009	감정 이모지 연결	연결 관리	세트 표	감정 이모지 연결	상태확인	[연결 해제] 활성 조건	미사용일 때만 활성, 사용 중은 비활성+툴팁('먼저 미사용으로 전환')
TC_MEL_0010	감정 이모지 연결	연결 관리	세트 표	감정 이모지 연결	상태확인	Empty / Loading	'연결된 감정 이모지가 없습니다. [이모지 연결]로…' / Skeleton
TC_MEL_0011	감정 이모지 연결	연결 모달	연결	이모지 연결	모달확인	[이모지 연결] 클릭(40종 미만)	연결 모달 — 검색·라이브러리 그리드 다중 선택('연결 N/40')
TC_MEL_0012	감정 이모지 연결	연결 모달	연결	이모지 연결	상태확인	이미 연결된 이모지	(사전조건) 일부 이모지가 현재 아티스트에 이미 연결됨. 해당 항목 연결됨 배지+선택 비활성
TC_MEL_0013	감정 이모지 연결	연결 모달	연결	이모지 연결	상태확인	40종 상한 초과 선택	(사전조건) 연결 40종에 근접. 40종 초과 선택 시 '연결은 최대 40종까지…' 차단
TC_MEL_0014	감정 이모지 연결	연결 모달	연결	이모지 연결	데이터입력	선택 후 [연결]	세트 마지막 순서에 미사용으로 추가·토스트·미적용 변경 +1
TC_MEL_0015	감정 이모지 연결	연결 모달	연결	이모지 연결	버튼클릭	[신규 등록] 진입	라이브러리 등록 모달 → 등록 후 그리드 자동 반영
TC_MEL_0016	감정 이모지 연결	연결 모달	연결	이모지 연결	상태확인	[이모지 연결] 40종 도달	버튼 비활성+툴팁('최대 연결 수 도달')
TC_MEL_0017	감정 이모지 연결	연결 해제 모달	해제	이모지 연결 해제	데이터입력	미사용 [연결 해제]	'세트에서 연결 해제·라이브러리 보존' 모달 → 행 제거·미적용 변경 +1(다른 아티스트·회원 기록 무영향)
TC_MEL_0018	감정 이모지 연결	적용/되돌리기	적용	변경사항 적용	데이터입력	[변경사항 적용]	'변경 N건을 앱에 적용할까요?' 모달 → 세트 전체 원자적 게시·앱 즉시 반영·미적용 0·마지막 적용 일시 갱신
TC_MEL_0019	감정 이모지 연결	적용/되돌리기	되돌리기	변경 되돌리기	데이터입력	[되돌리기]	'미적용 변경 N건 되돌릴까요?' 모달 → 마지막 적용본으로 복원·미적용 0
TC_MEL_0020	감정 이모지 연결	앱 연동	노출	앱 감정 이모지	앱 연동 확인	변경사항 적용 → 앱	앱 기억 작성 시 사용 중인 이모지만(최대 6) 표시 순서대로 노출. 적용 전에는 직전 적용본 유지 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MEL_0021	감정 이모지 연결	앱 연동	기록	앱 감정 이모지	앱 연동 확인	연결 해제 → 회원 기록	연결 해제해도 기존 기억 기록의 이모지 표시 보존 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MEL_0022	감정 이모지 연결	앱 연동	노출	앱 감정 이모지	앱 연동 확인	[변경사항 적용] → 앱 즉시 노출	적용 즉시 앱 기억 작성 시 사용 중 이모지만(최대 6개) 설정 순서대로 노출 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MEL_0023	감정 이모지 연결	앱 연동	노출	앱 감정 이모지	앱 연동 확인	(사전조건) 미적용 draft 변경 존재 — 적용 전 앱 이모지 확인	적용 전에는 앱에 직전 적용본 유지(draft 미반영) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_MEL_0024	감정 이모지 연결	앱 연동	노출	앱 감정 이모지	앱 연동 확인	[되돌리기] → 앱 이모지	되돌리기 시 직전 적용본으로 복원, 앱은 직전 적용본 유지(미적용 변경 폐기) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
