TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_BVB_0001	혜택 관리	혜택 리스트		혜택 리스트	UI확인	사이드바 BIVE > 혜택 관리 → /bive/benefits	혜택 리스트 진입
TC_BVB_0002	혜택 관리	혜택 리스트	탭	혜택 리스트	UI확인	유형 탭 2종	Boost Point(BP, 기본)/Raffle Ticket(RT)
TC_BVB_0003	혜택 관리	혜택 리스트	검색·필터	혜택 리스트	UI확인	필터·안내·[+ 혜택 생성]	상태(전체/초안/대기/활성/중지/종료)·지급주기(일일/주간/1회)·검색 + '지급시간 00:05' 안내 + 생성 버튼
TC_BVB_0004	혜택 관리	혜택 리스트	테이블	혜택 리스트	UI확인	테이블 컬럼	상태 칩·혜택명칭·등록 BIVE·수량(BP/Ticket)·지급주기·지급요일(주간만)·시작일·종료일
TC_BVB_0005	혜택 관리	혜택 리스트	테이블	혜택 리스트	버튼클릭	행 클릭	혜택 상세(/benefits/{id}) 이동
TC_BVB_0006	혜택 관리	혜택 리스트	테이블	혜택 리스트	상태확인	0건 / 조건 0건	'등록된 혜택이 없습니다.' / '조건에 맞는 혜택이 없습니다.'
TC_BVB_0007	혜택 관리	혜택 생성	기본정보 탭	혜택 생성	모달확인	[+ 혜택 생성]	혜택 생성(2탭: 기본정보/BIVE 추가) 진입, 타이틀 '{유형} 혜택 생성'
TC_BVB_0008	혜택 관리	혜택 생성	기본정보 탭	혜택 생성	데이터입력	입력 필드	혜택명칭·수량(정수≥1, BP/Ticket)·지급주기(일일 기본/주간/1회)·지급요일(주간만)·시작/종료 일시
TC_BVB_0009	혜택 관리	혜택 생성	기본정보 탭	혜택 생성	상태확인	지급주기별 필드	일일=시작·종료 일시 / 주간=요일 필수 추가 / 1회=시작일
TC_BVB_0010	혜택 관리	혜택 생성	BIVE 추가 탭	혜택 생성(저장 전)	상태확인	혜택 미생성 상태 BIVE 추가 탭	'혜택 생성 후 BIVE를 추가할 수 있습니다' 안내 + [+ 추가하기] 비활성(아직 저장 전이므로 추가 불가)
TC_BVB_0011	혜택 관리	혜택 생성	검증	혜택 생성	에러 메시지 확인	필수 항목 누락	명칭·수량·주기·일시 미충족 시 [활성대기] 비활성
TC_BVB_0012	혜택 관리	혜택 생성	검증	혜택 생성	에러 메시지 확인	시작일 과거 입력	시작일은 오늘 이후여야 함 검증
TC_BVB_0013	혜택 관리	혜택 생성	검증	혜택 생성	에러 메시지 확인	종료일 ≤ 시작일 입력	종료일은 시작일+1일 이후여야 함 검증
