TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_BNR_0001	배너 관리	리스트		배너 관리(슬롯 인벤토리)	UI확인	사이드바 앱 > 배너 관리 클릭 → /home/banners	배너 관리 진입 + 슬롯 인벤토리
TC_BNR_0002	배너 관리	리스트	탭	배너 관리(슬롯 인벤토리)	UI확인	노출 위치 탭	홈(메인·오늘의 할일) / 아티스트 메인(다함께·미션) + 슬롯 개수 배지, URL ?placement 동기화
TC_BNR_0003	배너 관리	리스트	통계	배너 관리(슬롯 인벤토리)	UI확인	통계 카드 4종	전체/노출중/임시저장/노출 종료, 카드 클릭 시 상태 필터
TC_BNR_0004	배너 관리	리스트	검색·필터	배너 관리(슬롯 인벤토리)	UI확인	필터 바	아티스트(전역/활성 그룹)·위치(탭별 슬롯)·키워드·[초기화]
TC_BNR_0005	배너 관리	리스트	테이블	배너 관리(슬롯 인벤토리)	UI확인	슬롯 인벤토리 컬럼	아티스트/배너 위치(메인 캐러셀 최대 8·단일)/배너 수(N건·노출중·대기)/최근 수정일/수정자
TC_BNR_0006	배너 관리	리스트	테이블	배너 관리(슬롯 인벤토리)	버튼클릭	슬롯 행 클릭	슬롯 상세(/home/banners/slot/{kind}/{artist})로 이동
TC_BNR_0007	배너 관리	리스트	테이블	배너 관리(슬롯 인벤토리)	상태확인	활성 아티스트 0명 / 배너 0건 / 필터 0건 / Loading	홈=메인 1슬롯·아티스트=0슬롯 / 행에 '비어 있음' / '조건에 맞는 슬롯이 없습니다.'+[초기화] / Skeleton
TC_BNR_0008	배너 관리	슬롯 상세		슬롯 상세	모달확인	슬롯 행 클릭 → 슬롯 상세	슬롯 내 배너 목록 + [+ 배너 추가]
TC_BNR_0009	배너 관리	슬롯 상세	목록	슬롯 상세	UI확인	캐러셀(메인) 드래그 정렬 / 단일 고정	메인=드래그 순서 변경(최대 8) / 오늘의 할일·다함께·미션=1개 고정 안내
TC_BNR_0010	배너 관리	슬롯 상세	목록	슬롯 상세	버튼클릭	[+ 배너 추가]	배너 작성(/home/banners/new?slot=&artist=) 진입(슬롯 컨텍스트 prefill)
TC_BNR_0011	배너 관리	슬롯 상세	목록	슬롯 상세	상태확인	쿼리 없는 직접 진입	배너 관리로 리다이렉트 + '슬롯을 먼저 선택해 주세요.' 토스트
TC_BNR_0012	배너 관리	배너 작성	슬롯 컨텍스트	배너 작성	UI확인	슬롯·아티스트	신규=prefill read-only / 복제(?from)=편집 가능, 슬롯별 정책(캐러셀 최대 8·단일 1개) 보조 표시
TC_BNR_0013	배너 관리	배너 작성	기본 정보	배너 작성	UI확인	다국어 입력	메인 타이틀(30자)·서브 타이틀(60자) 각 KO/EN/JA 필수, 이미지 대체 텍스트(100자) 선택
TC_BNR_0014	배너 관리	배너 작성	미디어	배너 작성	UI확인	대표 이미지	JPG/PNG/WEBP·50MB, 슬롯별 권장 비율(메인 1:1·단일 16:9), 업로드 즉시 미리보기+앱 시뮬레이션
TC_BNR_0015	배너 관리	배너 작성	딥링크	배너 작성	데이터입력	소스 타입 + 링크 URL(선택)	소스 타입 자유 텍스트, URL https://·http://·/ 로 시작 검증(그 외 인라인 에러), 빈 값=이동 없음
TC_BNR_0016	배너 관리	배너 작성	노출 기간	배너 작성	UI확인	공개일시·종료일시	공개일시 필수(도달 시 자동 노출) / 종료 무기한 or 사용자 지정(도달 시 자동 종료)
TC_BNR_0017	배너 관리	배너 작성	검증	배너 작성	에러 메시지 확인	[생성하기] 필수 미충족	다국어 6필드+대표 이미지+공개일시 미충족 시 [생성하기] 비활성 + 누락 인라인 안내
TC_BNR_0018	배너 관리	배너 작성	검증	배너 작성	데이터입력	[임시저장]	메인 타이틀 KO 최소만 → DRAFT 저장 + 슬롯 상세 복귀
TC_BNR_0019	배너 관리	배너 작성	저장	배너 작성	데이터입력	필수 충족 후 [생성하기]	DRAFT 또는 공개일 도달 시 ACTIVE + 토스트 + 활동 로그
TC_BNR_0020	배너 관리	배너 작성	복제	배너 작성	데이터입력	복제 모드(?from) 슬롯 변경	위치·아티스트 편집 가능, 비율 변경 시 '권장 비율이 변경되었습니다. 이미지를 재업로드하세요.' 경고
TC_BNR_0021	배너 관리	배너 상세·수정	헤더	배너 상세	UI확인	상태 배지·메타	슬롯/상태(임시저장 회색·노출중 초록·노출 종료 진회색)/아티스트/기간 배지
TC_BNR_0022	배너 관리	배너 상세·수정	헤더	배너 상세	UI확인	상태별 액션	임시저장=[수정][삭제] / 노출중=[수정][복제][노출 종료] / 노출 종료=[수정][복제][노출 재개][삭제]
TC_BNR_0023	배너 관리	배너 상세·수정	수정	배너 수정	데이터입력	[수정] → 변경 후 [저장]	변경 시 저장+토스트, 노출중 수정 시 '회원 앱 즉시 반영' Info 토스트
TC_BNR_0024	배너 관리	배너 상세·수정	수정	배너 수정	에러 메시지 확인	변경 없이 [저장]	'변경 사항이 없습니다' 토스트 + 저장 차단
TC_BNR_0025	배너 관리	배너 상세·수정	수정 취소 모달	배너 수정 취소	버튼클릭	변경 있는 상태 [취소]·[← 슬롯으로]	'변경사항을 저장하시겠습니까?' 모달 → 폐기/유지. 변경 없으면 즉시 복귀
TC_BNR_0026	배너 관리	노출 제어	노출 종료 모달	배너 노출 종료	데이터입력	노출중 [노출 종료]	'비상 차단' 안내 모달 → 확정 시 노출 종료 + '노출이 종료되었습니다' 토스트 + 활동 로그
TC_BNR_0027	배너 관리	노출 제어	노출 재개 모달	배너 노출 재개	데이터입력	노출 종료 [노출 재개]	확인 모달 → ACTIVE 전이 + '노출이 재개되었습니다' 토스트
TC_BNR_0028	배너 관리	노출 제어	노출 재개 모달	배너 노출 재개	상태확인	재개 시 캐러셀 8 한도 초과	모달 내 차단 '동시 노출 8개를 이미 채웠습니다…' + 모달 유지
TC_BNR_0029	배너 관리	노출 제어	노출 재개 모달	배너 노출 재개	상태확인	재개 시 종료일 과거	경고 '종료일이 과거입니다' + [수정 후 재개]/[그대로 재개], 수정 후 재개 시 저장 후 모달 재오픈
