TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_QST_0001	팬퀘스트	팬퀘스트 리스트		팬퀘스트 리스트	UI확인	사이드바 에피소드 > 팬퀘스트 클릭 → /sq/quests	팬퀘스트 리스트 진입 + 브레드크럼 '홈/에피소드/팬퀘스트'
TC_QST_0002	팬퀘스트	팬퀘스트 리스트	검색·필터	팬퀘스트 리스트	UI확인	필터 바	상태(전체/진행중/임시저장/종료)·검색 대상(타이틀/아티스트)·키워드·[초기화]
TC_QST_0003	팬퀘스트	팬퀘스트 리스트	검색·필터	팬퀘스트 리스트	UI확인	우측 액션	[반려사유 설정](빨강)·[생성하기](인디고)
TC_QST_0004	팬퀘스트	팬퀘스트 리스트	검색·필터	팬퀘스트 리스트	데이터입력	상태·검색 조합	조건 결과, 변경 시 1페이지 리셋
TC_QST_0005	팬퀘스트	팬퀘스트 리스트	테이블	팬퀘스트 리스트	UI확인	테이블 컬럼	상태/타이틀/아티스트/진행 방식/반복 주기/기간/검토 필요(7컬럼)
TC_QST_0006	팬퀘스트	팬퀘스트 리스트	테이블	팬퀘스트 리스트	상태확인	기본 정렬	최근 수정 일시 내림차순
TC_QST_0007	팬퀘스트	팬퀘스트 리스트	테이블	팬퀘스트 리스트	버튼클릭	행 클릭	Quest 상세 기본정보 탭(/sq/quests/{id}?tab=info)으로 이동
TC_QST_0008	팬퀘스트	팬퀘스트 리스트	테이블	팬퀘스트 리스트	UI확인	페이지네이션	페이지당 10건
TC_QST_0009	팬퀘스트	팬퀘스트 리스트	테이블	팬퀘스트 리스트	상태확인	검색 0건 / Loading	'팬퀘스트가 없습니다.' / Skeleton
TC_QST_0010	팬퀘스트	Quest 생성		Quest 생성	모달확인	[생성하기] 클릭	Quest 생성(/sq/quests/create) 진입
TC_QST_0011	팬퀘스트	Quest 생성	기본 정보	Quest 생성	UI확인	다국어 입력	타이틀(100자)·설명(200자)·유저 가이드(500자) 각 한국어/영어/일본어
TC_QST_0012	팬퀘스트	Quest 생성	퀘스트 설정	Quest 생성	UI확인	설정 필드	아티스트·퀘스트 타입(이미지 촬영 및 업로드)·참여 방식(일반/반복)·마감 일시
TC_QST_0013	팬퀘스트	Quest 생성	퀘스트 설정	Quest 생성	데이터입력	참여 방식 '반복' 선택	반복 주기 버튼(일간/주간/월간) 노출, 주기 필수
TC_QST_0014	팬퀘스트	Quest 생성	퀘스트 설정	Quest 생성	UI확인	연관 링크(선택)	다국어 라벨(20자)+URL 추가/삭제
TC_QST_0015	팬퀘스트	Quest 생성	보상 설정	Quest 생성	UI확인	보상 항목	응모권(장)·덕력(DUK)·NFT 체크박스+수량, 1개 이상 필수
TC_QST_0016	팬퀘스트	Quest 생성	보상 설정	Quest 생성	상태확인	NFT 선택(선택 가능 이벤트 없음)	(사전조건) 선택 가능 NFT 이벤트 0건. '선택 가능한 NFT 이벤트가 없습니다. BIVE 메뉴에서 생성' 안내
TC_QST_0017	팬퀘스트	Quest 생성	보상 설정	Quest 생성	데이터입력	NFT 선택(선택 가능 이벤트 있음)	(사전조건) 선택 가능 NFT 이벤트 1건 이상. NFT 체크 시 이벤트 드롭다운에서 정상 선택 가능
TC_QST_0018	팬퀘스트	Quest 생성	검증	Quest 생성	에러 메시지 확인	다국어 일부 언어 미입력	[생성하기] 비활성 + 해당 언어 탭 빨강 표시
TC_QST_0019	팬퀘스트	Quest 생성	검증	Quest 생성	에러 메시지 확인	반복 주기 미선택 / 보상 0개	[생성하기] 비활성 + '보상 항목을 1개 이상 선택해주세요.'
TC_QST_0020	팬퀘스트	Quest 생성	저장	Quest 생성	데이터입력	필수 충족 후 [생성하기]	생성 완료 모달 → [확인] → 리스트 복귀, 임시저장 상태로 생성
TC_QST_0021	팬퀘스트	Quest 생성	취소 모달	Quest 생성	데이터입력	[취소하기]/뒤로가기(입력값 있음)	'작성 중인 내용이 사라집니다' 모달 → [확인] 폐기/[계속 작성] 유지
TC_QST_0022	팬퀘스트	Quest 상세-기본정보	헤더	Quest 상세(기본정보)	모달확인	리스트 행 클릭 → 상세 진입	타이틀·상태 배지·상태별 액션 + 3탭(기본정보/대기내역/처리내역)
TC_QST_0023	팬퀘스트	Quest 상세-기본정보	헤더	Quest 상세(기본정보)	UI확인	상태별 액션	임시저장=[삭제][수정][게시] / 진행중=[수정][종료] / 종료=없음
TC_QST_0024	팬퀘스트	Quest 상세-기본정보	헤더	Quest 상세(기본정보)	UI확인	대기내역 탭 배지	검수 대기 ≥1이면 탭에 앰버 배지
TC_QST_0025	팬퀘스트	Quest 상세-기본정보	통계	Quest 상세(기본정보)	UI확인	통계 카드	총 제출 수·승인·반려·대기(앰버)
TC_QST_0026	팬퀘스트	Quest 상세-기본정보	정보	Quest 상세(기본정보)	UI확인	Quest 정보 카드	아티스트·타입·진행 방식·보상(응모권/덕력/NFT)·시작/마감일시·연관 링크
TC_QST_0027	팬퀘스트	Quest 상세-기본정보	정보	Quest 상세(기본정보)	UI확인	관리 정보 카드	상태·생성 관리자·생성 일시·최근 수정자·최근 수정 일시
TC_QST_0028	팬퀘스트	Quest 상세-기본정보	에피소드 사용	Quest 상세(기본정보)	UI확인	에피소드 사용 현황	매핑 0건='아직 매핑되지 않았습니다' / N건=그룹·에피소드·미션 목록, 행 클릭 시 미션 상세 이동
TC_QST_0029	팬퀘스트	Quest 상세-기본정보	다국어	Quest 상세(기본정보)	UI확인	다국어 콘텐츠	타이틀·설명·유저 가이드 각 KO/EN/JA 3행, 빈칸 '—'
