TC ID	Depth1	Depth2	Depth3	화면명	테스트 항목	테스트 내용	예상결과
TC_GZE_0001	GP 교환소	교환 내역		GP 교환소	UI확인	사이드바 게임존 > GP 교환소 → /gamezone/exchange	교환 내역 진입 + [지갑 관리]·[교환 설정] 버튼
TC_GZE_0002	GP 교환소	교환 내역	운영 지갑	GP 교환소	UI확인	운영 지갑 현황 2카드	충전/출금 지갑 — [대표] 배지·CELB 잔액·BNB 가스비·주소 축약·상태
TC_GZE_0003	GP 교환소	교환 내역	운영 지갑	GP 교환소	상태확인	BNB 부족 경고	BNB < 0.01 시 빨간색 + ⚠ 경고
TC_GZE_0004	GP 교환소	교환 내역	통계	GP 교환소	UI확인	통계 카드 5종	오늘 GP 충전/오늘 GP 출금/오늘 교환 건수/전체 유저 보유 GP/탈퇴 유저 GP
TC_GZE_0005	GP 교환소	교환 내역	필터	GP 교환소	데이터입력	기간·교환 방향·닉네임 + [검색]	교환 방향(전체/GP 충전/GP 출금)·닉네임 부분 일치
TC_GZE_0006	GP 교환소	교환 내역	테이블	GP 교환소	UI확인	테이블 컬럼	(사전조건) 교환 내역 1건 이상 — 테스트 BO 데이터 생성. 일시·닉네임·Txid(축약)·교환 방향 배지·GP 수량·CELB 수량·비율·상태(성공/실패)
TC_GZE_0007	GP 교환소	교환 내역	테이블	GP 교환소	버튼클릭	행 클릭 / 닉네임·Txid	(사전조건) 교환 내역 1건 이상 — 테스트 BO 데이터 생성. 행 클릭=교환 상세 모달 / 닉네임·Txid 클릭=회원 상세·BSCScan 이동
TC_GZE_0008	GP 교환소	교환 내역	상세 모달	교환 상세	UI확인	교환 상세	(사전조건) 교환 내역 1건 이상 — 테스트 BO 데이터 생성. Txid·일시·닉네임·지갑·방향·GP/CELB 수량·적용 비율·교환 전/후 잔액·상태·실패 사유(실패 시)
TC_GZE_0009	GP 교환소	교환 내역	테이블	GP 교환소	상태확인	0건 / Loading	'교환 내역이 없습니다.' / Skeleton
TC_GZE_0010	GP 교환소	교환 설정		교환 설정	모달확인	[교환 설정] → /exchange/settings	교환 설정 진입
TC_GZE_0011	GP 교환소	교환 설정	설정	교환 설정	UI확인	비율·한도·토글	GP→CELB·CELB→GP 비율 / 충전·출금 한도(최소·최대·일일 금액·횟수) / GP 충전·출금 활성화 토글
TC_GZE_0012	GP 교환소	교환 설정	검증	교환 설정	에러 메시지 확인	음수 비율 / 최소>최대	비율 0 이하·최소>최대 시 인라인 에러 + [저장] 차단
TC_GZE_0013	GP 교환소	교환 설정	저장	교환 설정	데이터입력	[저장] / [초기화]	'교환 설정이 저장되었습니다.' 토스트·활동 로그 / 초기화 확인 모달 후 기본값 복원
TC_GZE_0014	GP 교환소	교환 설정	토글	교환 설정	데이터입력	GP 충전·출금 OFF	GP 충전·출금 토글 OFF 저장 시 설정값 반영 → 앱 거래 차단(즉시 반영) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZE_0015	GP 교환소	지갑 관리		지갑 관리	모달확인	[지갑 관리] → /exchange/wallets	지갑 관리 진입 + [지갑 목록 새로고침]·[+ 지갑 등록]
TC_GZE_0016	GP 교환소	지갑 관리	목록	지갑 관리	UI확인	통계·테이블	통계 4카드(충전용/출금용/활성/비활성) + 테이블(유형·지갑 정보·잔액·상태·등록일·액션)
TC_GZE_0017	GP 교환소	지갑 관리	목록	지갑 관리	상태확인	상태별 액션	활성=[비활성화][수정][삭제 비활성] / 비활성=[활성화][수정][삭제]
TC_GZE_0018	GP 교환소	지갑 관리	등록 모달	지갑 등록	데이터입력	[+ 지갑 등록]	유형(충전용/출금용)·지갑 주소·Private Key(출금용 필수, 0x+64자리 16진수) 입력 후 등록
TC_GZE_0019	GP 교환소	지갑 관리	등록 모달	지갑 수정	데이터입력	[수정]	(사전조건) 등록된 지갑 1건 이상. 수정 모달 진입 시 기존 값 prefill, Private Key 빈 값으로 저장 시 기존 키 유지(수정 전용 규칙)
TC_GZE_0020	GP 교환소	지갑 관리	삭제 모달	지갑 삭제	데이터입력	비활성 지갑 [삭제]	'복구할 수 없습니다' 모달 → 삭제(활성은 [삭제] 비활성)
TC_GZE_0021	GP 교환소	지갑 관리	목록	지갑 관리	버튼클릭	[지갑 목록 새로고침] / 주소 클릭	'지갑 정보가 갱신되었습니다.'·잔액 재조회 / BSCScan 새 탭
TC_GZE_0022	GP 교환소	앱 연동	교환 토글	앱 GP 교환소	앱 연동 확인	(사전조건) 교환 설정 진입 — 테스트 BO 데이터 생성. GP 충전·출금 토글 OFF 저장 → 앱	교환 설정 OFF 저장 시 앱 GP↔CELB 거래 차단(즉시 반영) / ON 저장 시 거래 복원 (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
TC_GZE_0023	GP 교환소	앱 연동	환율·한도	앱 GP 교환소	앱 연동 확인	(사전조건) 교환 설정 진입 — 테스트 BO 데이터 생성. 환율·1일 한도 변경 저장 → 앱	환율·1일 한도 변경 시 앱 교환 화면에 즉시 반영(캐시 TTL 60초) (앱 측 실측은 본 시트 범위 외 — 앱 QA 별도)
